atom,picked_count,cat
PER.tasteless,116,PER
ACT.build,111,ACT
SPC.direction,108,SPC
PER.see,108,PER
PER.feel,107,PER
WLD.artless,107,WLD
BOD.mouth,106,BOD
BOD.ear,103,BOD
BOD.face,103,BOD
PER.deaf,103,PER
FND.labor,102,FND
PER.hear,102,PER
PER.soundless,100,PER
PER.touch,99,PER
EMO.manifest,99,EMO
PER.blind,94,PER
TIM.moment,93,TIM
PRP.small,93,PRP
COG.learn,92,COG
PER.sound,92,PER
ACT.lie_down,91,ACT
ACT.exit,91,ACT
MAT.naked,91,MAT
CHG.advance,91,CHG
SOC.work,91,SOC
ECO.income,90,ECO
BOD.eye,89,BOD
PRP.whole,89,PRP
ACT.lose,89,ACT
MAT.bare_hand,88,MAT
PRP.single,88,PRP
PER.smell,88,PER
ACT.take,87,ACT
PRP.easy,87,PRP
PER.odorless,87,PER
ACT.leave,86,ACT
WLD.technique,86,WLD
SPC.nowhere,86,SPC
SOC.homeless,86,SOC
PER.stench,86,PER
STA.health,85,STA
COM.speak,85,COM
PER.bitter,85,PER
COG.intention,84,COG
CHG.grow,84,CHG
BOD.head,84,BOD
BOD.hand,84,BOD
ACT.obtain,83,ACT
ACT.emit,83,ACT
ECO.earn,83,ECO
ECO.withdraw,82,ECO
EMO.wish,82,EMO
COM.silence,82,COM
FND.play,82,FND
PRP.hot,82,PRP
FND.consciousness,82,FND
BEI.beast,82,BEI
ACT.go,81,ACT
BEI.child,81,BEI
ACT.move,81,ACT
PRP.dark,81,PRP
ECO.sell,81,ECO
SOC.individual,81,SOC
PER.numb,80,PER
EXS.vitality,80,EXS
ELM.moon,80,ELM
PER.taste,80,PER
PRP.possible,79,PRP
STA.comfort,79,STA
FND.unconscious,79,FND
PER.sweet,79,PER
EMO.contempt,79,EMO
WLD.secular,78,WLD
TIM.appear,78,TIM
COM.practice,78,COM
PRP.weak,78,PRP
COG.mindless,78,COG
COG.instinct,78,COG
ACT.stop,77,ACT
LOG.cause,77,LOG
ACT.arrive,77,ACT
COG.know,77,COG
WLD.unskilled,77,WLD
SOC.awake,77,SOC
ABS.bound,76,ABS
EXS.absence,76,EXS
PRP.high,76,PRP
PRP.shallow,75,PRP
REL.alone,75,REL
BOD.foot,75,BOD
STA.wealth,75,STA
STA.pain,75,STA
PRP.part,75,PRP
ACT.sink,75,ACT
ACT.rise,74,ACT
BOD.hip,74,BOD
PRP.soft,74,PRP
PRP.sharp,73,PRP
ACT.calm,73,ACT
PER.fragrance,73,PER
ABS.release,73,ABS
MAT.tool,73,MAT
ELM.sun,73,ELM
SOC.rest,73,SOC
PER.untouched,73,PER
COM.secret,72,COM
ACT.ascend,72,ACT
ACT.sit,72,ACT
ECO.buy,72,ECO
COM.question,72,COM
PRP.aged,72,PRP
EMO.happiness,72,EMO
PER.salty,72,PER
PRP.young,72,PRP
COG.remember,72,COG
SOC.pass,71,SOC
ACT.stand,71,ACT
ABS.self,71,ABS
ABS.exempt,71,ABS
ECO.save,71,ECO
STA.poverty,71,STA
STA.healing,70,STA
SOC.obstruct,70,SOC
TIM.now,70,TIM
COG.forget,70,COG
PRP.bright,69,PRP
COG.think,69,COG
EMO.like,69,EMO
EMO.fear,69,EMO
FND.body,69,FND
SOC.sleep,69,SOC
PRP.far,69,PRP
PRP.difficult,69,PRP
PRP.slow,68,PRP
ECO.pay,68,ECO
PRP.rough,68,PRP
COG.separate,68,COG
COM.answer,68,COM
PRP.short,68,PRP
FND.intuition,68,FND
TIM.come,68,TIM
SPC.place,68,SPC
SOC.official,68,SOC
BEI.male,68,BEI
COM.conduct,67,COM
TIM.period,67,TIM
MAT.clothing,67,MAT
FND.spatiality,67,FND
EMO.worry,67,EMO
FND.memoryless,67,FND
ELM.light,67,ELM
STA.wound,67,STA
PRP.near,66,PRP
ABS.wise,66,ABS
PRP.heavy,66,PRP
FND.mind,66,FND
EMO.pride,66,EMO
EMO.pleasure,66,EMO
WLD.art,65,WLD
PRP.smooth,65,PRP
ACT.fall,65,ACT
PRP.fast,65,PRP
CHG.retreat,65,CHG
EMO.patience,65,EMO
PRP.blunt,65,PRP
CHG.begin,65,CHG
FND.memory,64,FND
LOG.effect,64,LOG
ECO.money,64,ECO
EMO.hope,64,EMO
SOC.refuse,63,SOC
EXS.physical_body,63,EXS
COG.confusion,63,COG
PRP.strong,63,PRP
WLD.science,63,WLD
COM.teach,63,COM
EMO.shame,62,EMO
SOC.request,62,SOC
PRP.large,62,PRP
ECO.currency,62,ECO
EXS.life,62,EXS
ELM.morning,62,ELM
ACT.give,62,ACT
SPC.reverse,62,SPC
COG.unlearned,62,COG
COG.ignorance,62,COG
ACT.abandon,62,ACT
BEI.plant,62,BEI
MAT.food,62,MAT
ECO.price,61,ECO
MAT.drink,61,MAT
ELM.fire,61,ELM
ACT.receive,61,ACT
EMO.unhappiness,61,EMO
PER.delicious,61,PER
BEI.root,60,BEI
EMO.respect,60,EMO
ACT.agitate,60,ACT
ACT.create,60,ACT
PRP.new,60,PRP
SOC.citizen,60,SOC
ELM.wind,60,ELM
BEI.female,60,BEI
PRP.dirty,60,PRP
CHG.end,59,CHG
COM.muteness,59,COM
PRP.low,59,PRP
ACT.make,59,ACT
EMO.desire,59,EMO
ACT.descend,58,ACT
EMO.anger,58,EMO
ABS.foolish,58,ABS
VAL.truth,57,VAL
SOC.stateless,57,SOC
STA.illness,57,STA
NAT.tree,57,NAT
ELM.sky,57,ELM
BEI.human,57,BEI
VAL.beauty,57,VAL
SOC.defend,56,SOC
FND.logic,56,FND
PRP.wide,56,PRP
EXS.spirit,56,EXS
VAL.ugliness,56,VAL
EMO.satisfaction,56,EMO
PRP.clean,56,PRP
PRP.dry,56,PRP
ELM.water,55,ELM
EMO.dislike,55,EMO
COM.conflict,55,COM
COM.announce,54,COM
EMO.courage,53,EMO
PRP.long,53,PRP
STA.peace,53,STA
NAT.sea,53,NAT
ACT.dissolve,53,ACT
EMO.joy,53,EMO
ELM.night,52,ELM
SOC.praise,52,SOC
PRP.narrow,52,PRP
SOC.attack,52,SOC
EXS.presence,52,EXS
EMO.despair,52,EMO
CHG.decay,51,CHG
WLD.outer_realm,51,WLD
PRP.light,50,PRP
EMO.sorrow,50,EMO
PRP.old,50,PRP
NAT.flower,49,NAT
VAL.correct,49,VAL
EMO.doubt,49,EMO
PRP.multiple,49,PRP
PRP.clear,49,PRP
WLD.nonscience,49,WLD
PRP.cold,49,PRP
PRP.deep,48,PRP
ELM.darkness,48,ELM
EXS.being,47,EXS
VAL.profane,47,VAL
EMO.anxiety,47,EMO
PRP.hard,47,PRP
EMO.forgiveness,47,EMO
EMO.apology,47,EMO
EXS.void,46,EXS
LOG.unreason,46,LOG
SPC.outside,45,SPC
SOC.city,45,SOC
ABS.responsibility,45,ABS
WLD.realm,45,WLD
COG.enlightenment,45,COG
WLD.uncultured,45,WLD
PRP.wet,45,PRP
EMO.trust,44,EMO
FND.languageless,44,FND
FND.language,43,FND
VAL.falsehood,43,VAL
FND.temporality,43,FND
PRP.murky,43,PRP
FND.ahistorical,42,FND
FND.time,42,FND
ECO.waste,41,ECO
BEI.parent,41,BEI
EXS.matter,41,EXS
EMO.hate,41,EMO
TIM.past,41,TIM
STA.danger,41,STA
SOC.criticize,41,SOC
ELM.earth,40,ELM
EXS.death,40,EXS
FND.transformation,40,FND
EMO.compassion,37,EMO
NAT.river,37,NAT
FND.number,36,FND
ACT.destroy,35,ACT
WLD.culture,34,WLD
ELM.star,34,ELM
TIM.indefinite,34,TIM
SPC.inside,33,SPC
