cid,atomset_seed,event_count,bonus,final_factor,is_bonus_target
0,FND.ahistorical,32,0.380952,1.0,True
1,ACT.agitate,1,0.045455,1.0,True
2,FND.ahistorical,32,0.380952,1.0,True
3,PRP.new,33,0.383721,1.0,True
4,PRP.new,21,0.33871,1.0,True
5,PER.hear,31,0.378049,1.0,True
6,PER.hear,1,0.045455,1.0,True
7,PRP.new,21,0.33871,1.0,True
8,PRP.new,1,0.045455,1.0,True
9,ACT.create,21,0.33871,1.0,True
10,LOG.effect,21,0.33871,1.0,True
11,PRP.new,21,0.33871,1.0,True
12,PER.hear,21,0.33871,1.0,True
13,PRP.new,21,0.33871,1.0,True
14,PRP.new,11,0.261905,1.0,True
15,PRP.new,11,0.261905,1.0,True
16,PRP.new,11,0.261905,1.0,True
17,PRP.new,11,0.261905,1.0,True
18,PRP.new,11,0.261905,1.0,True
19,PRP.new,11,0.261905,1.0,True
20,PRP.new,11,0.261905,1.0,True
21,PER.hear,11,0.261905,1.0,True
22,PRP.new,11,0.261905,1.0,True
23,PRP.new,11,0.261905,1.0,True
24,COG.enlightenment,11,0.261905,1.0,True
25,PRP.new,11,0.261905,1.0,True
26,PER.hear,12,0.272727,1.0,True
27,PRP.new,12,0.272727,1.0,True
