cid,atomset_seed,event_count,bonus,final_factor,is_bonus_target
0,FND.ahistorical,32,0.380952,1.190476,True
1,ACT.agitate,1,0.045455,1.022727,True
2,FND.ahistorical,31,0.378049,1.189024,True
3,PRP.new,22,0.34375,1.171875,True
4,PRP.new,31,0.378049,1.189024,True
5,PER.hear,31,0.378049,1.189024,True
6,PER.hear,1,0.045455,1.022727,True
7,PRP.new,31,0.378049,1.189024,True
8,PRP.new,1,0.045455,1.022727,True
9,ACT.create,21,0.33871,1.169355,True
10,LOG.effect,21,0.33871,1.169355,True
11,PRP.new,11,0.261905,1.130952,True
12,PER.hear,11,0.261905,1.130952,True
13,PRP.new,11,0.261905,1.130952,True
14,PRP.new,11,0.261905,1.130952,True
15,PRP.new,21,0.33871,1.169355,True
16,PRP.new,11,0.261905,1.130952,True
17,PRP.new,11,0.261905,1.130952,True
18,PER.see,11,0.261905,1.130952,True
