cond,seed,cid,window,drift,exc,degree,n_partner,n_core,atom
A,0,0,2,1.0,275.7299807321473,4,0,5,FND.ahistorical
A,0,2,2,1.0,281.8823484423259,8,0,5,FND.ahistorical
A,0,3,2,1.0,281.25527100682825,4,0,2,PRP.new
A,0,4,2,1.0,284.8736632039082,2,0,2,PRP.new
A,0,5,2,1.0,284.9043765501552,3,0,2,PER.hear
A,0,7,2,1.0,282.0552292474154,4,0,2,PRP.new
A,0,0,2,1.0,197.6837481317623,7,0,5,FND.ahistorical
A,0,2,2,1.0,196.5014936883993,6,0,5,FND.ahistorical
A,0,3,2,1.0,196.3881491115899,4,0,2,PRP.new
A,0,4,2,1.0,198.5288950151902,3,0,2,PRP.new
A,0,5,2,1.0,198.52556710838502,2,0,2,PER.hear
A,0,7,2,1.0,197.42822734200644,5,0,2,PRP.new
A,0,0,3,1.0,247.164684490177,6,0,5,FND.ahistorical
A,0,2,3,1.0,251.24141321214978,7,0,5,FND.ahistorical
A,0,3,3,1.0,248.07525736721794,5,0,2,PRP.new
A,0,5,3,1.0,242.4526564388156,2,0,2,PER.hear
A,0,9,3,1.0,250.96152691769538,5,0,5,ACT.create
A,0,10,3,1.0,253.4007558905048,5,0,4,LOG.effect
A,0,11,3,1.0,247.46369279869754,2,0,2,PRP.new
A,0,12,3,1.0,252.1511965787348,3,0,2,PER.hear
A,0,13,3,1.0,248.69421237851208,4,0,2,PRP.new
A,0,0,4,1.2221588445655405,228.613752772113,9,0,5,FND.ahistorical
A,0,2,4,1.2221588445655405,230.21205945738066,3,0,5,FND.ahistorical
A,0,3,4,1.0665589980736947,231.59803813280016,3,0,2,PRP.new
A,0,5,4,1.0997917413363665,227.77372356534164,1,0,2,PER.hear
A,0,9,4,1.0,225.8294541856552,2,0,5,ACT.create
A,0,10,4,1.0,233.33022604590928,2,0,4,LOG.effect
A,0,11,4,1.0665589980736947,227.26743704661024,3,0,2,PRP.new
A,0,12,4,1.0997917413363665,230.74585635991076,2,0,2,PER.hear
A,0,13,4,1.0665589980736947,229.91831274522812,1,0,2,PRP.new
A,0,22,4,1.0665589980736947,231.54454071860357,2,0,2,PRP.new
A,0,23,4,1.0665589980736947,231.9968388839186,2,0,2,PRP.new
A,0,24,4,1.0,230.934501993317,3,0,2,COG.enlightenment
A,0,25,4,1.0665589980736947,227.57671538196985,3,0,2,PRP.new
A,0,26,4,1.0997917413363665,230.75707990376193,2,0,2,PER.hear
A,0,27,4,1.0665589980736947,225.77245124448248,4,0,2,PRP.new
A,0,0,5,1.426952692862735,243.77320344554494,6,0,5,FND.ahistorical
A,0,2,5,1.426952692862735,254.61367668389818,4,0,5,FND.ahistorical
A,0,3,5,1.1738435385631174,244.83391628120515,3,0,2,PRP.new
A,0,5,5,1.2316216310339898,243.47536481000895,2,0,2,PER.hear
A,0,10,5,1.0,256.12134836129474,3,0,4,LOG.effect
A,0,12,5,1.2316216310339898,246.29050256550275,3,0,2,PER.hear
A,0,13,5,1.1738435385631174,264.96718600721715,2,0,2,PRP.new
A,0,23,5,1.1738435385631174,249.72721315429695,2,0,2,PRP.new
A,0,24,5,1.0,265.0125909016821,2,0,2,COG.enlightenment
A,0,25,5,1.1738435385631174,245.92494361606305,3,0,2,PRP.new
A,0,26,5,1.2316216310339898,265.5096041578702,2,0,2,PER.hear
A,0,27,5,1.1738435385631174,255.5727457605587,2,0,2,PRP.new
A,0,29,5,1.0,246.7025694726774,3,0,2,COG.enlightenment
A,0,30,5,1.0,255.58659960656956,3,0,2,COG.enlightenment
A,0,0,6,1.523350530019574,267.2986753761845,8,0,5,FND.ahistorical
A,0,2,6,1.523350530019574,265.7557868950771,3,0,5,FND.ahistorical
A,0,3,6,1.2609556239010904,266.5225271196958,3,0,2,PRP.new
A,0,5,6,1.350903107687786,274.47934571036666,3,0,2,PER.hear
A,0,10,6,1.1021516712654904,272.0380518933925,4,0,4,LOG.effect
A,0,12,6,1.350903107687786,271.5900239892861,3,0,2,PER.hear
A,0,13,6,1.2609556239010904,270.5283815437682,5,0,2,PRP.new
A,0,23,6,1.2609556239010904,271.86926058289134,2,0,2,PRP.new
A,0,24,6,1.0,264.6856859550601,3,0,2,COG.enlightenment
A,0,25,6,1.2609556239010904,261.30951648064996,3,0,2,PRP.new
A,0,26,6,1.350903107687786,271.07440279367705,4,0,2,PER.hear
A,0,27,6,1.2609556239010904,269.4267271550414,4,0,2,PRP.new
A,0,29,6,1.0,272.99999302270317,2,0,2,COG.enlightenment
A,0,30,6,1.0,272.79137167388626,5,0,2,COG.enlightenment
A,0,31,6,1.523350530019574,274.14698037557014,4,0,5,FND.ahistorical
A,0,32,6,1.523350530019574,262.0579250704044,10,0,5,FND.ahistorical
A,0,33,6,1.1021516712654904,265.23374789647227,7,0,4,LOG.effect
A,0,35,6,1.2609556239010904,273.17444182536957,3,0,2,PRP.new
A,0,36,6,1.2609556239010904,260.7850356945454,2,0,2,PRP.new
A,0,0,7,1.6600237853563298,320.1222528000327,9,1,5,FND.ahistorical
A,0,2,7,1.6600237853563298,322.58393525048814,10,0,5,FND.ahistorical
