seed,steps,cycles_completed,min_links,max_links,max_s_gt_03,max_s,median_s_best,total_opp,total_near_miss,elapsed
42,2300,0,109,189,12,0.73562,0.04884,410,17533,16.1
123,2300,0,91,155,13,0.88576,0.03317,476,18146,15.4
456,2300,0,11,140,2,0.37943,0.03081,732,17144,12.0
789,2300,1,51,153,8,0.84529,0.03243,474,15581,14.4
2024,2300,3,99,155,11,0.76464,0.03243,465,16832,15.1
7,2300,0,14,138,2,0.58975,0.03966,501,15045,12.6
314,2300,0,8,134,2,0.85364,0.02711,491,14945,12.3
999,2300,0,11,133,5,0.55095,0.05096,488,15960,12.7
55,2300,0,91,191,11,0.86482,0.0417,489,17375,15.8
1337,2300,0,106,196,14,0.88815,0.04308,573,17392,15.7
