window,V,ms,spr,cyc,delta_V,param,old,new,dir,rev
1,6.739,0.00857,0.1176,0,6.739,link_death_threshold,0.001,0.003,1,False
2,5.135,0.01252,0.0777,0,-1.604,background_injection_prob,0.005,0.003,-1,True
3,1.537,0.01537,0.0,0,-3.598,exothermic_release_amount,0.15,0.17,1,True
4,2.009,0.01498,0.0102,0,0.472,p_link_birth,0.005,0.007,1,False
5,5.555,0.01618,0.0787,0,3.546,latent_to_active_threshold,0.05,0.07,1,False
6,10.043,0.02781,0.1453,0,4.488,latent_refresh_rate,0.002,0.003,1,False
7,10.144,0.02044,0.162,0,0.101,auto_growth_rate,0.02,0.025,1,False
8,9.46,0.02641,0.1364,0,-0.684,reaction_energy_threshold,0.3,0.28,-1,True
9,7.254,0.03504,0.075,0,-2.206,link_death_threshold,0.005,0.007,1,True
10,7.964,0.02509,0.1091,0,0.71,background_injection_prob,0.001,0.003,1,False
