seed,bias,cycles,cycles_per_1k,opp_rate,nm_rate,miss_strong_share,miss_energy_share,miss_state_share,miss_sync_share,spr_mean,loop_edge_frac,min_links,compressibility,strength_entropy
42,0.0,6,5.455,0.688,19.312,0.913,0.029,0.029,0.029,0.1074,0.1074,104,0.521,1.1122
123,0.0,3,2.727,0.312,17.562,0.911,0.028,0.036,0.025,0.0591,0.0591,119,0.5616,1.018
789,0.0,1,0.909,0.375,21.5,0.881,0.02,0.047,0.052,0.1209,0.1209,126,0.491,1.1818
2024,0.0,1,0.909,0.562,22.0,0.932,0.02,0.02,0.028,0.0486,0.0486,109,0.5562,1.0305
1337,0.0,1,0.909,1.0,19.062,0.921,0.02,0.026,0.033,0.0857,0.0857,125,0.52,1.1145
42,0.2,10,9.091,0.875,21.5,0.869,0.026,0.058,0.047,0.1078,0.1078,98,0.5012,1.1581
123,0.2,2,1.818,1.0,18.062,0.889,0.017,0.055,0.038,0.0962,0.0962,123,0.5103,1.137
789,0.2,5,4.545,0.75,18.812,0.9,0.02,0.047,0.033,0.1258,0.1258,117,0.4956,1.1711
2024,0.2,5,4.545,0.562,19.25,0.925,0.003,0.045,0.026,0.0648,0.0648,104,0.5478,1.05
1337,0.2,8,7.273,1.188,19.562,0.888,0.029,0.029,0.054,0.0896,0.0896,104,0.4991,1.163
42,0.4,7,6.364,0.562,22.562,0.903,0.014,0.033,0.05,0.1383,0.1383,120,0.48,1.2073
123,0.4,3,2.727,0.938,19.062,0.892,0.01,0.049,0.049,0.0962,0.0962,121,0.5225,1.1086
789,0.4,11,10.0,0.812,20.375,0.865,0.012,0.061,0.061,0.1134,0.1134,117,0.5066,1.1456
2024,0.4,4,3.636,0.688,20.562,0.894,0.015,0.058,0.033,0.1043,0.1043,109,0.4991,1.163
1337,0.4,2,1.818,0.562,19.312,0.916,0.006,0.042,0.036,0.0721,0.0721,125,0.5627,1.0155
42,0.6,8,7.273,1.312,20.062,0.872,0.022,0.053,0.053,0.1484,0.1484,116,0.4821,1.2024
123,0.6,5,4.545,1.188,17.5,0.9,0.007,0.043,0.05,0.0729,0.0729,125,0.5657,1.0084
789,0.6,5,4.545,0.938,20.25,0.883,0.009,0.052,0.056,0.0756,0.0756,111,0.5369,1.0754
2024,0.6,12,10.909,1.5,20.062,0.888,0.006,0.062,0.044,0.1026,0.1026,109,0.4937,1.1757
1337,0.6,10,9.091,0.562,17.875,0.895,0.01,0.049,0.045,0.0642,0.0642,115,0.5571,1.0284
42,0.8,5,4.545,1.125,15.875,0.835,0.024,0.087,0.055,0.1142,0.1142,104,0.4918,1.18
123,0.8,11,10.0,0.812,16.938,0.882,0.011,0.052,0.055,0.1103,0.1103,117,0.5322,1.0862
789,0.8,6,5.455,1.0,20.312,0.877,0.003,0.058,0.062,0.0985,0.0985,122,0.5279,1.0962
2024,0.8,6,5.455,1.0,19.75,0.918,0.0,0.032,0.051,0.0571,0.0571,107,0.5538,1.036
1337,0.8,7,6.364,0.75,17.188,0.862,0.004,0.069,0.065,0.0721,0.0721,114,0.5427,1.0619
