knob,value,median_eta,mean_eta,median_cyc_rate,median_X,pct_collapse,status
background_injection_prob,0.001,0.966,0.965,0.0,0.6295,0.0,stable
background_injection_prob,0.003,1.0,1.0,3.75,0.6341,0.0,stable
background_injection_prob,0.015,0.928,0.941,0.0,0.6172,0.0,stable
background_injection_prob,0.03,0.988,0.935,0.0,0.6254,0.0,stable
latent_refresh_rate,0.0003,1.007,0.994,1.25,0.6452,0.0,stable
latent_refresh_rate,0.001,0.955,0.975,1.25,0.6438,0.0,stable
latent_refresh_rate,0.003,1.0,1.0,3.75,0.6341,0.0,stable
latent_refresh_rate,0.01,0.947,0.948,2.5,0.6004,0.0,stable
p_link_birth,0.001,1.277,1.255,0.0,0.8055,0.0,stable
p_link_birth,0.004,1.122,1.14,0.0,0.7118,0.0,stable
p_link_birth,0.01,0.826,0.819,1.25,0.5334,0.0,stable
p_link_birth,0.03,0.475,0.478,0.0,0.3118,0.0,collapse
