seed,cycle_id,cycle_type,step_start,step_end,node_id
456,0,C→Dust→B→C,119,1666,0
456,1,C→Dust→A→C,9,1090,1
456,2,C→Dust→B→C,1815,4369,1
456,3,C→Dust→A→C,4618,5254,1
456,4,C→Dust→B→C,564,1815,129
456,5,C→Dust→A→C,1815,2218,129
456,6,C→Dust→A→C,2218,3724,129
456,7,C→Dust→B→C,3724,4893,129
456,8,C→Dust→A→C,1902,2419,134
456,9,C→Dust→B→C,2419,4916,134
456,10,C→Dust→B→C,9,4189,9
456,11,C→Dust→B→C,243,1788,140
456,12,C→Dust→A→C,642,4152,150
456,13,C→Dust→B→C,90,2859,168
456,14,C→Dust→A→C,260,1145,43
456,15,C→Dust→A→C,1145,2859,43
456,16,C→Dust→A→C,2859,3178,43
456,17,C→Dust→A→C,3178,4189,43
456,18,C→Dust→B→C,168,1054,60
456,19,C→Dust→A→C,1054,1974,60
456,20,C→Dust→B→C,1974,2451,60
456,21,C→Dust→B→C,2451,3167,60
456,22,C→Dust→A→C,123,4643,195
456,23,C→Dust→B→C,4643,5091,195
456,24,C→Dust→B→C,135,2672,78
456,25,C→Dust→A→C,3317,4963,78
456,26,C→Dust→B→C,2622,3839,79
456,27,C→Dust→B→C,3839,5197,79
456,28,C→Dust→A→C,467,4736,92
456,29,C→Dust→B→C,922,2247,96
456,30,C→Dust→A→C,2247,4595,96
456,31,C→Dust→A→C,4595,4943,96
456,32,C→Dust→B→C,159,1067,116
456,33,C→Dust→B→C,1067,2803,116
456,34,C→Dust→B→C,198,2852,117
456,35,C→Dust→A→C,1843,3171,127
456,36,C→Dust→B→C,119,3338,4
456,37,C→Dust→A→C,1317,3099,130
456,38,C→Dust→A→C,3099,3678,130
456,39,C→Dust→A→C,3678,4633,130
456,40,C→Dust→B→C,4633,5252,130
456,41,C→Dust→A→C,2123,3896,11
456,42,C→Dust→B→C,1843,4036,154
456,43,C→Dust→B→C,4036,4943,154
456,44,C→Dust→A→C,177,1455,28
456,45,C→Dust→A→C,1455,2439,28
456,46,C→Dust→A→C,2439,3403,28
456,47,C→Dust→A→C,1477,2325,157
456,48,C→Dust→B→C,1994,3724,167
456,49,C→Dust→B→C,3896,4400,169
456,50,C→Dust→A→C,31,1522,170
456,51,C→Dust→B→C,1522,2908,170
456,52,C→Dust→A→C,2908,3287,170
456,53,C→Dust→B→C,1237,3437,174
456,54,C→Dust→A→C,3437,3604,174
456,55,C→Dust→A→C,3604,4651,174
456,56,C→Dust→B→C,156,4143,175
456,57,C→Dust→B→C,2750,4022,56
456,58,C→Dust→A→C,2167,2464,62
456,59,C→Dust→A→C,2464,4456,62
456,60,C→Dust→A→C,32,3247,198
456,61,C→Dust→A→C,3247,4369,198
456,62,C→Dust→B→C,75,4152,100
456,63,C→Dust→A→C,250,895,103
456,64,C→Dust→A→C,895,1818,103
456,65,C→Dust→B→C,1818,5146,103
456,66,C→Dust→A→C,180,2552,110
456,67,C→Dust→B→C,351,3760,23
456,68,C→Dust→A→C,3760,4700,23
456,69,C→Dust→A→C,4700,5056,23
456,70,C→Dust→B→C,350,4111,29
456,71,C→Dust→A→C,270,1661,32
456,72,C→Dust→B→C,61,2663,37
456,73,C→Dust→A→C,2663,4117,37
456,74,C→Dust→A→C,4117,4889,37
456,75,C→Dust→A→C,171,1952,38
456,76,C→Dust→A→C,1952,3731,38
456,77,C→Dust→B→C,892,1425,61
456,78,C→Dust→A→C,1425,4539,61
456,79,C→Dust→B→C,4539,4736,61
456,80,C→Dust→B→C,48,4016,69
456,81,C→Dust→B→C,48,2119,77
456,82,C→Dust→A→C,2119,3578,77
456,83,C→Dust→A→C,1661,4021,80
456,84,C→Dust→A→C,147,2645,81
456,85,C→Dust→B→C,2645,3564,81
456,86,C→Dust→B→C,3564,4679,81
456,87,C→Dust→A→C,141,4219,118
456,88,C→Dust→A→C,147,3328,137
456,89,C→Dust→B→C,285,4595,139
456,90,C→Dust→B→C,2361,4651,142
456,91,C→Dust→B→C,1067,3099,143
456,92,C→Dust→A→C,3099,4022,143
456,93,C→Dust→B→C,3178,5283,149
456,94,C→Dust→B→C,399,2970,158
456,95,C→Dust→A→C,3377,3805,158
456,96,C→Dust→B→C,463,737,163
456,97,C→Dust→A→C,349,986,2
456,98,C→Dust→B→C,1598,3244,10
456,99,C→Dust→B→C,75,4219,12
456,100,C→Dust→B→C,111,2307,20
456,101,C→Dust→A→C,2307,3839,20
456,102,C→Dust→B→C,174,1046,25
456,103,C→Dust→A→C,1046,2167,25
456,104,C→Dust→B→C,2167,3929,25
456,105,C→Dust→B→C,156,1962,34
456,106,C→Dust→A→C,2135,4200,34
456,107,C→Dust→A→C,4036,5219,70
456,108,C→Dust→B→C,613,4417,83
