seed,window_id,step_start,step_end,island_count,max_island_size,island_sizes_str,loop3,loop4,loop5,strength_entropy,X_total,C,B,active_links
7,1,300,500,2,4,"[4, 3]",0,0,0,1.3171,0.6048,0.4327,0.172,186
7,2,500,700,2,4,"[4, 3]",0,0,0,1.5591,0.4479,0.3285,0.1194,201
7,3,700,900,0,0,[],0,0,0,0.8862,0.6864,0.6183,0.0681,191
7,4,900,1100,3,6,"[6, 4, 3]",0,0,0,1.6081,0.4625,0.3074,0.1551,187
7,5,1100,1300,0,0,[],0,0,0,1.5605,0.4723,0.3279,0.1444,187
7,6,1300,1500,3,3,"[3, 3, 3]",0,0,0,1.3858,0.5089,0.4032,0.1058,208
7,7,1500,1700,2,3,"[3, 3]",0,0,0,1.6123,0.5056,0.3056,0.2,170
7,8,1700,1900,1,5,[5],0,0,0,1.4853,0.4296,0.3603,0.0693,202
7,9,1900,2100,0,0,[],0,0,0,1.3929,0.4719,0.4001,0.0718,195
7,10,2100,2300,1,3,[3],0,0,0,1.2127,0.5539,0.4777,0.0761,197
7,11,2300,2500,2,5,"[5, 4]",0,0,0,1.6493,0.4399,0.2897,0.1502,213
7,12,2500,2700,1,4,[4],0,0,0,1.341,0.5839,0.4225,0.1614,223
7,13,2700,2900,2,5,"[5, 4]",0,0,0,1.7184,0.326,0.2599,0.0661,227
7,14,2900,3100,2,3,"[3, 3]",0,0,0,1.4338,0.4979,0.3825,0.1154,234
7,15,3100,3300,1,5,[5],0,0,0,1.6049,0.4306,0.3088,0.1218,197
7,16,3300,3500,3,4,"[4, 4, 3]",0,0,0,1.3178,0.5441,0.4325,0.1116,215
7,17,3500,3700,3,5,"[5, 3, 3]",0,0,0,1.6381,0.4097,0.2945,0.1152,191
7,18,3700,3900,2,4,"[4, 3]",0,0,0,1.5183,0.5013,0.3461,0.1552,232
7,19,3900,4100,3,6,"[6, 4, 4]",0,0,0,1.3559,0.5935,0.416,0.1774,186
7,20,4100,4300,0,0,[],0,0,0,1.2444,0.5294,0.4641,0.0653,199
7,21,4300,4500,2,5,"[5, 4]",0,0,0,1.7752,0.337,0.2355,0.1015,197
7,22,4500,4700,3,5,"[5, 4, 3]",0,0,0,1.5444,0.4244,0.3349,0.0896,201
7,23,4700,4900,5,5,"[5, 5, 3, 3, 3]",0,0,0,1.6369,0.4504,0.295,0.1553,206
7,24,4900,5100,2,3,"[3, 3]",0,0,0,1.2926,0.5049,0.4433,0.0616,211
7,25,5100,5300,0,0,[],0,0,0,1.4053,0.4298,0.3948,0.035,200
