seed,cycles_total,cycles_per_1k,cycle_type_count,cycle_type_entropy,top1_share,mean_island_count,max_island_count,coexistence_rate,regime_count_used,mean_regime_duration,switch_rate,median_eta,min_eta,elapsed
123,233,46.6,2,0.9564,0.6223,1.4,4,0.48,4,1.2,3.8,0.9756,0.6863,25.1
1337,264,52.8,2,0.9327,0.6515,1.56,4,0.52,4,1.1,4.4,0.9651,0.7766,25.1
2024,283,56.6,2,0.9567,0.6219,1.4,5,0.4,4,1.6,3.0,1.0394,0.7588,25.3
314,261,52.2,2,0.9628,0.613,2.0,8,0.52,4,1.7,2.8,0.9356,0.7997,25.4
42,0,0.0,0,0.0,0,2.0,2,1.0,1,1,0.0,0.9244,0.9244,1.9
456,276,55.2,2,0.9656,0.6087,1.88,5,0.6,4,1.7,2.8,0.944,0.7134,25.1
55,232,46.4,2,0.9662,0.6078,1.72,5,0.48,4,1.5,3.2,0.9566,0.7751,25.7
7,252,50.4,2,0.9587,0.619,1.8,5,0.64,4,1.2,3.8,0.8147,0.5624,25.3
789,274,54.8,2,0.9674,0.6058,1.92,4,0.64,4,1.5,3.2,0.9472,0.8084,25.7
999,252,50.4,2,0.9468,0.6349,2.44,6,0.68,4,1.5,3.2,0.8821,0.7019,25.3
