seed,variance,cycles,cycles_per_1k,cycle_type_count,cycle_type_entropy,top1_share,syn_count,auto_count,mean_island,max_island,coexistence_rate,island_births_per_1k,island_deaths_per_1k,mean_turnover,boundary_crossing_per_1k,rigidity_index,fert_corr_syn,fert_corr_auto,spr,X,min_links,runaway,elapsed
123,0.0,252,50.4,2,0.9468,0.6349,150,47,1.28,4,0.44,6.4,6.4,0,0.0,1.0,0,0,0.1112,0.4704,187,False,28.2
1337,0.0,275,55.0,2,0.9231,0.6618,149,81,1.64,4,0.56,8.2,7.6,0,0.0,1.0,0,0,0.1052,0.4719,169,False,28.1
2024,0.0,271,54.2,2,0.9722,0.5978,162,44,1.8,4,0.6,9.0,8.2,0,0.0,1.0,0,0,0.1096,0.4821,175,False,28.3
314,0.0,217,43.4,2,0.9688,0.6037,138,34,1.6,5,0.52,8.0,7.0,0,0.0,1.0,0,0,0.1112,0.4802,165,False,28.0
42,0.0,280,56.0,2,0.9688,0.6036,162,53,2.16,5,0.8,10.8,10.4,0,0.0,1.0,0,0,0.1265,0.4673,176,False,28.0
456,0.0,237,47.4,2,0.9663,0.6076,145,49,2.12,4,0.68,10.6,10.6,0,0.0,1.0,0,0,0.1238,0.4682,174,False,28.1
55,0.0,230,46.0,2,0.9568,0.6217,138,45,1.8,4,0.52,9.0,8.6,0,0.0,1.0,0,0,0.1273,0.4806,178,False,28.2
7,0.0,218,43.6,2,0.9483,0.633,131,35,2.2,5,0.64,11.0,10.2,0,0.0,1.0,0,0,0.1267,0.4922,170,False,28.3
789,0.0,234,46.8,2,0.9788,0.5855,136,45,1.72,4,0.56,8.6,8.4,0,0.0,1.0,0,0,0.1241,0.4801,187,False,28.9
999,0.0,223,44.6,2,0.9453,0.6368,144,37,2.0,5,0.64,10.0,9.4,0,0.0,1.0,0,0,0.1144,0.4807,179,False,28.6
123,0.1,240,48.0,2,0.9604,0.6167,144,41,2.08,6,0.6,10.4,10.2,0,0.0,1.0,0.074,-0.0398,0.1307,0.4701,177,False,28.6
1337,0.1,281,56.2,2,0.9657,0.6085,163,55,2.04,5,0.64,10.2,9.8,0,0.0,1.0,0.0038,0.0815,0.1313,0.4789,180,False,28.6
2024,0.1,227,45.4,2,0.9572,0.6211,137,46,2.16,5,0.68,10.6,10.0,0.75,0.0,0.571,-0.067,-0.0379,0.1371,0.4723,166,False,28.1
314,0.1,238,47.6,2,0.9505,0.6303,150,51,1.64,6,0.48,8.2,8.0,0,0.0,1.0,0.0639,-0.112,0.1213,0.4643,175,False,28.6
42,0.1,291,58.2,2,0.9659,0.6082,164,61,1.72,6,0.48,8.6,8.6,0,0.0,1.0,0.2052,0.0874,0.1235,0.4764,185,False,29.1
456,0.1,211,42.2,2,0.9467,0.6351,133,44,1.72,5,0.44,8.6,8.6,0,0.0,1.0,0.0658,-0.1012,0.1164,0.4841,172,False,29.0
55,0.1,213,42.6,2,0.9757,0.5915,131,37,2.0,5,0.6,10.0,9.2,0,0.0,1.0,0.1996,-0.0274,0.1216,0.4724,156,False,28.0
7,0.1,262,52.4,2,0.9384,0.645,151,59,1.68,4,0.56,8.4,8.4,0,0.0,1.0,0.0585,0.0781,0.1164,0.4856,183,False,28.1
789,0.1,264,52.8,2,0.9673,0.6061,151,63,1.92,5,0.52,9.6,8.8,0,0.0,1.0,-0.0523,-0.1494,0.1198,0.4659,181,False,28.3
999,0.1,256,51.2,2,0.9573,0.6211,155,45,2.2,5,0.64,11.0,10.8,0,0.0,1.0,-0.0327,-0.066,0.1301,0.473,182,False,28.7
123,0.2,274,54.8,2,0.9551,0.6241,159,52,1.96,5,0.52,9.8,9.6,0,0.0,1.0,0.0494,-0.1862,0.1201,0.464,155,False,28.7
1337,0.2,292,58.4,2,0.9752,0.5925,173,52,1.96,4,0.64,9.8,9.6,0,0.0,1.0,0.1212,-0.0714,0.1142,0.4853,171,False,28.2
2024,0.2,317,63.4,2,0.9635,0.612,175,67,1.56,5,0.48,7.8,6.8,0,0.0,1.0,0.0196,0.1552,0.1112,0.482,171,False,28.2
314,0.2,236,47.2,2,0.9674,0.6059,151,45,1.76,5,0.52,8.8,8.4,0,0.0,1.0,0.072,0.0114,0.1202,0.472,162,False,28.6
42,0.2,264,52.8,2,0.922,0.6629,148,64,1.88,5,0.56,9.4,9.2,0,0.0,1.0,0.0617,0.0458,0.1158,0.4678,174,False,28.3
456,0.2,248,49.6,2,0.9655,0.6089,155,37,1.92,5,0.56,9.6,9.4,0,0.0,1.0,0.1117,-0.0269,0.1348,0.4744,164,False,28.3
55,0.2,270,54.0,2,0.9665,0.6074,162,45,2.04,5,0.64,10.2,9.6,0,0.0,1.0,0.043,0.2061,0.1128,0.4869,156,False,28.4
7,0.2,267,53.4,2,0.9359,0.6479,149,54,2.12,5,0.68,10.6,9.6,0,0.0,1.0,0.0673,-0.0449,0.1356,0.4728,182,False,29.0
789,0.2,300,60.0,2,0.9626,0.6133,171,59,1.68,4,0.56,8.4,7.8,0,0.0,1.0,0.0858,0.0596,0.11,0.4792,176,False,28.3
999,0.2,287,57.4,2,0.9358,0.6481,163,64,1.76,4,0.64,8.8,8.2,0,0.0,1.0,0.1013,-0.1479,0.1244,0.4827,176,False,29.0
123,0.35,270,54.0,2,0.9591,0.6185,151,58,1.72,4,0.64,8.6,8.2,0,0.0,1.0,0.0591,0.0539,0.1203,0.4738,179,False,28.9
1337,0.35,282,56.4,2,0.9551,0.6241,159,60,2.56,8,0.64,12.8,12.4,0,0.0,1.0,0.1366,-0.1444,0.1274,0.4794,187,False,29.0
2024,0.35,224,44.8,2,0.9608,0.6161,141,30,1.88,5,0.48,9.4,9.0,0,0.0,1.0,0.1274,0.0206,0.1246,0.481,166,False,28.4
314,0.35,248,49.6,2,0.9451,0.6371,146,64,1.84,4,0.56,9.2,8.6,0,0.0,1.0,0.0431,0.1755,0.1203,0.4768,180,False,28.7
42,0.35,253,50.6,2,0.9681,0.6047,155,37,1.72,4,0.6,8.6,8.6,0,0.0,1.0,0.154,0.1735,0.1075,0.4714,179,False,28.5
