seed,window,rate,n_C,r_000,r_001,r_010,r_011,r_100,r_101,r_110,r_111,bd_0,bd_1,sz_0,sz_1,f_0,f_1,intr_0,intr_1,intr_2p,cp_full_types,cp_full_entropy
314,1,0.0,108,92,6,0,8,0,0,0,2,103,5,103,5,56,52,108,0,0,12,1.9153
314,2,0.0,73,62,9,0,2,0,0,0,0,71,2,73,0,40,33,73,0,0,6,1.702
314,3,0.0,21,19,1,0,0,0,0,0,1,21,0,20,1,12,9,21,0,0,4,1.4519
314,4,0.0,10,7,1,0,1,0,0,0,1,8,2,10,0,4,6,10,0,0,5,2.0464
314,5,0.0,8,6,0,0,1,0,0,0,1,6,2,6,2,3,5,8,0,0,4,1.8113
314,6,0.0,11,7,4,0,0,0,0,0,0,11,0,11,0,5,6,11,0,0,4,1.9363
314,7,0.0,8,8,0,0,0,0,0,0,0,8,0,8,0,1,7,8,0,0,2,0.5436
314,8,0.0,18,18,0,0,0,0,0,0,0,18,0,18,0,10,8,18,0,0,2,0.9911
314,9,0.0,14,14,0,0,0,0,0,0,0,14,0,14,0,6,8,14,0,0,2,0.9852
314,10,0.0,14,14,0,0,0,0,0,0,0,14,0,14,0,8,6,14,0,0,2,0.9852
314,11,0.0,15,13,2,0,0,0,0,0,0,15,0,15,0,10,5,15,0,0,3,1.3996
314,12,0.0,13,9,4,0,0,0,0,0,0,13,0,13,0,8,5,13,0,0,4,1.8339
314,13,0.0,13,8,5,0,0,0,0,0,0,13,0,13,0,7,6,13,0,0,4,1.9501
314,14,0.0,16,12,1,0,1,0,0,0,2,14,2,16,0,6,10,16,0,0,6,2.0462
314,15,0.0,12,10,0,0,2,0,0,0,0,11,1,10,2,6,6,12,0,0,4,1.65
314,16,0.0,13,10,2,0,0,0,0,0,1,13,0,13,0,8,5,13,0,0,5,1.892
314,17,0.0,11,11,0,0,0,0,0,0,0,11,0,11,0,6,5,11,0,0,2,0.994
314,18,0.0,10,9,1,0,0,0,0,0,0,10,0,10,0,5,5,10,0,0,3,1.361
314,19,0.0,10,5,2,0,2,0,0,0,1,7,3,10,0,1,9,10,0,0,5,2.1219
314,20,0.0,18,13,0,0,0,0,0,0,5,13,5,18,0,7,11,18,0,0,4,1.8163
314,21,0.0,14,10,2,0,1,0,0,0,1,13,1,14,0,7,7,14,0,0,6,2.1281
314,22,0.0,18,16,0,0,2,0,0,0,0,17,1,18,0,9,9,18,0,0,4,1.5033
314,23,0.0,24,15,4,0,5,0,0,0,0,19,5,24,0,11,13,24,0,0,6,2.1346
314,24,0.0,14,10,4,0,0,0,0,0,0,14,0,14,0,6,8,14,0,0,4,1.8424
314,25,0.0,4,3,0,0,0,0,0,0,1,3,1,4,0,2,2,4,0,0,3,1.5
