seed,window,rate,pct_none,pct_small,pct_large,H2,H3,dH,J2,J3
7,1,0.0,91.3,8.7,0.0,0.8358,0.8358,0.0,-0.3252,-0.3252
7,2,0.0,90.5,9.5,0.0,0.9291,0.9291,0.0,-0.1766,-0.1766
7,3,0.0,91.3,8.7,4.3,0.5132,0.5132,0.0,-0.2787,-0.2787
7,4,0.0,55.6,44.4,0.0,1.7527,1.7527,0.0,1.3552,1.3552
7,5,0.0,81.2,18.8,0.0,1.3716,1.3716,0.0,0.7358,0.7358
7,6,0.0,56.2,43.8,12.5,1.9363,1.9363,0.0,1.2176,1.2176
7,7,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,0.2914,0.2914
7,8,0.0,91.7,8.3,0.0,0.8167,0.8167,0.0,0.1147,0.1147
7,9,0.0,40.0,60.0,0.0,1.9219,1.9219,0.0,1.607,1.607
7,10,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,0.5,0.5
7,11,0.0,88.2,11.8,0.0,0.5226,0.5226,0.0,-0.022,-0.022
7,12,0.0,95.5,4.5,0.0,0.5304,0.5304,0.0,-0.1465,-0.1465
7,13,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.2832,-0.2832
7,14,0.0,87.0,13.0,0.0,1.0862,1.0862,0.0,0.2691,0.2691
7,15,0.0,93.3,6.7,0.0,0.6998,0.6998,0.0,-0.1414,-0.1414
7,16,0.0,86.7,13.3,0.0,1.2366,1.2366,0.0,0.2889,0.2889
7,17,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.115,-0.115
7,18,0.0,80.0,20.0,0.0,1.2419,1.2419,0.0,0.6788,0.6788
7,19,0.0,66.7,33.3,0.0,1.8329,1.8329,0.0,0.952,0.952
7,20,0.0,86.4,13.6,0.0,1.1181,1.1181,0.0,0.4279,0.4279
7,21,0.0,78.6,21.4,0.0,1.2917,1.2917,0.0,0.4246,0.4246
7,22,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.0999,-0.0999
7,23,0.0,90.9,9.1,0.0,0.8659,0.8659,0.0,0.1781,0.1781
7,24,0.0,50.0,50.0,16.7,1.9183,1.9183,0.0,1.3877,1.3877
7,25,0.0,84.6,15.4,7.7,1.2304,1.2304,0.0,0.5966,0.5966
42,1,0.0,89.8,10.2,0.0,0.8204,0.8204,0.0,-0.3406,-0.3406
42,2,0.0,83.7,16.3,10.5,1.288,1.288,0.0,0.2761,0.2761
42,3,0.0,83.3,16.7,0.0,1.1582,1.1582,0.0,0.406,0.406
42,4,0.0,92.9,7.1,0.0,0.7345,0.7345,0.0,-0.1087,-0.1087
42,5,0.0,92.0,8.0,0.0,0.6396,0.6396,0.0,-0.0792,-0.0792
42,6,0.0,86.2,13.8,6.9,1.0351,1.0351,0.0,0.1742,0.1742
42,7,0.0,84.2,15.8,0.0,1.2155,1.2155,0.0,0.2929,0.2929
42,8,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.0765,-0.0765
42,9,0.0,85.7,14.3,0.0,1.1488,1.1488,0.0,0.5489,0.5489
42,10,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.0999,-0.0999
42,11,0.0,88.0,12.0,0.0,1.0263,1.0263,0.0,0.194,0.194
42,12,0.0,86.4,13.6,0.0,1.1181,1.1181,0.0,0.3763,0.3763
42,13,0.0,91.3,8.7,4.3,0.8405,0.8405,0.0,-0.0584,-0.0584
42,14,0.0,92.9,7.1,7.1,0.7345,0.7345,0.0,-0.2294,-0.2294
42,15,0.0,76.9,23.1,15.4,1.5466,1.5466,0.0,0.7058,0.7058
42,16,0.0,87.5,12.5,12.5,1.0613,1.0613,0.0,0.3562,0.3562
42,17,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.1286,-0.1286
42,18,0.0,94.1,5.9,0.0,0.3228,0.3228,0.0,-0.2963,-0.2963
42,19,0.0,64.3,35.7,0.0,1.8352,1.8352,0.0,1.3114,1.3114
42,20,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,0.2133,0.2133
42,21,0.0,78.9,21.1,0.0,1.4832,1.4832,0.0,0.7853,0.7853
42,22,0.0,66.7,33.3,16.7,1.8879,1.8879,0.0,0.9417,0.9417
42,23,0.0,80.0,20.0,0.0,1.2419,1.2419,0.0,0.586,0.586
42,24,0.0,89.5,10.5,0.0,1.0583,1.0583,0.0,0.1509,0.1509
42,25,0.0,86.7,13.3,0.0,0.9056,0.9056,0.0,0.1119,0.1119
55,1,0.0,92.4,7.6,0.0,0.8141,0.8141,0.0,-0.3469,-0.3469
55,2,0.0,96.3,3.7,0.0,0.489,0.489,0.0,-0.5666,-0.5666
55,3,0.0,91.3,8.7,0.0,0.6784,0.6784,0.0,-0.1792,-0.1792
55,4,0.0,82.4,17.6,0.0,1.1596,1.1596,0.0,0.3332,0.3332
55,5,0.0,88.9,11.1,0.0,0.8031,0.8031,0.0,0.1978,0.1978
55,6,0.0,80.0,20.0,0.0,1.571,1.571,0.0,0.7186,0.7186
55,7,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.0137,-0.0137
55,8,0.0,93.3,6.7,0.0,0.6998,0.6998,0.0,-0.0354,-0.0354
55,9,0.0,94.7,5.3,0.0,0.5907,0.5907,0.0,-0.1635,-0.1635
55,10,0.0,75.0,25.0,0.0,1.5,1.5,0.0,0.9926,0.9926
55,11,0.0,40.0,60.0,40.0,1.5219,1.5219,0.0,1.2035,1.2035
55,12,0.0,72.2,27.8,0.0,1.7652,1.7652,0.0,1.1806,1.1806
55,13,0.0,84.6,15.4,7.7,1.352,1.352,0.0,0.3648,0.3648
55,14,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.0827,-0.0827
55,15,0.0,70.0,30.0,20.0,1.4855,1.4855,0.0,1.0434,1.0434
55,16,0.0,78.6,21.4,14.3,1.2871,1.2871,0.0,0.8039,0.8039
55,17,0.0,72.2,27.8,0.0,1.5003,1.5003,0.0,0.5112,0.5112
55,18,0.0,81.0,19.0,4.8,1.2467,1.2467,0.0,0.623,0.623
55,19,0.0,78.9,21.1,0.0,1.523,1.523,0.0,0.6115,0.6115
55,20,0.0,84.2,15.8,0.0,1.3605,1.3605,0.0,0.2844,0.2844
55,21,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.0765,-0.0765
55,22,0.0,83.3,16.7,0.0,1.2075,1.2075,0.0,0.4179,0.4179
55,23,0.0,93.3,6.7,0.0,0.6998,0.6998,0.0,-0.0856,-0.0856
55,24,0.0,85.7,14.3,7.1,1.2917,1.2917,0.0,0.3572,0.3572
55,25,0.0,75.9,24.1,0.0,1.6764,1.6764,0.0,0.6626,0.6626
123,1,0.0,92.3,7.7,4.3,0.6997,0.6997,0.0,-0.4613,-0.4613
123,2,0.0,87.2,12.8,0.0,1.1059,1.1059,0.0,0.0788,0.0788
123,3,0.0,95.0,5.0,0.0,0.569,0.569,0.0,-0.2237,-0.2237
123,4,0.0,83.3,16.7,0.0,1.1221,1.1221,0.0,0.3209,0.3209
123,5,0.0,95.2,4.8,0.0,0.549,0.549,0.0,-0.2458,-0.2458
123,6,0.0,69.2,30.8,7.7,1.5262,1.5262,0.0,0.9467,0.9467
123,7,0.0,54.5,45.5,18.2,1.4949,1.4949,0.0,1.1562,1.1562
123,8,0.0,58.3,41.7,33.3,1.9591,1.9591,0.0,1.1289,1.1289
123,9,0.0,86.7,13.3,0.0,0.5665,0.5665,0.0,0.4244,0.4244
123,10,0.0,82.4,17.6,0.0,1.3216,1.3216,0.0,0.527,0.527
123,11,0.0,85.7,14.3,0.0,1.2917,1.2917,0.0,0.2046,0.2046
123,12,0.0,85.0,15.0,0.0,1.1918,1.1918,0.0,0.1092,0.1092
123,13,0.0,91.7,8.3,8.3,0.4138,0.4138,0.0,-0.0931,-0.0931
123,14,0.0,52.6,47.4,21.1,1.9785,1.9785,0.0,1.5035,1.5035
123,15,0.0,86.7,13.3,6.7,0.9056,0.9056,0.0,0.4684,0.4684
123,16,0.0,100.0,0.0,0.0,-0.0,-0.0,0.0,-0.1713,-0.1713
123,17,0.0,87.5,12.5,0.0,0.9,0.9,0.0,0.037,0.037
