seed,window,rate,k_star,J_star,type_count,H,drift
7,1,0.0,3,-0.2884,5,1.0041,
7,2,0.0,3,-0.025,5,1.1918,0.0757
7,3,0.0,3,-0.1868,4,0.7654,0.2088
7,4,0.0,3,1.6985,5,2.1133,0.8777
7,5,0.0,3,0.9391,4,1.3716,0.7285
7,6,0.0,2,1.2176,4,1.9363,0.4423
7,7,0.0,3,0.9303,2,0.9024,0.8204
7,8,0.0,3,0.3146,3,0.8167,0.4979
7,9,0.0,2,1.607,4,1.9219,0.8461
7,10,0.0,3,0.7992,2,0.5917,1.0
7,11,0.0,3,0.1028,3,0.8343,0.2685
7,12,0.0,3,0.2648,4,1.0848,0.341
7,13,0.0,3,-0.164,2,0.3912,0.2373
7,14,0.0,3,1.0096,5,1.8407,0.4614
7,15,0.0,3,0.1655,3,0.6998,0.4657
7,16,0.0,3,1.1054,5,1.9301,0.4678
7,17,0.0,3,0.2565,2,0.6194,0.4296
7,18,0.0,3,0.7432,3,1.2419,0.5013
7,19,0.0,3,1.2527,5,2.1604,0.3848
7,20,0.0,3,0.5298,3,1.1181,0.4117
7,21,0.0,3,0.9205,5,1.8074,0.4056
7,22,0.0,3,-0.0464,2,0.3095,0.4366
7,23,0.0,3,1.0111,4,1.6767,0.4954
7,24,0.0,3,1.4354,4,1.9183,0.6781
7,25,0.0,3,0.8311,5,1.5852,0.5384
42,1,0.0,3,-0.1612,5,1.1313,
42,2,0.0,3,0.48,5,1.6187,0.1538
42,3,0.0,3,0.6164,4,1.5284,0.249
42,4,0.0,3,0.0071,3,0.7345,0.2726
42,5,0.0,3,0.4846,4,1.2415,0.4041
42,6,0.0,3,0.2951,4,1.2375,0.2186
42,7,0.0,3,0.9364,4,1.8248,0.2726
42,8,0.0,3,0.2283,2,0.5665,0.4543
42,9,0.0,3,0.725,4,1.4838,0.4022
42,10,0.0,3,-0.0887,2,0.2975,0.4063
42,11,0.0,3,0.4456,5,1.4015,0.3366
42,12,0.0,3,0.6123,4,1.5134,0.2599
42,13,0.0,3,0.3064,4,1.3603,0.1071
42,14,0.0,3,0.0251,4,1.0892,0.0969
42,15,0.0,3,1.3622,5,2.0458,0.6089
42,16,0.0,3,0.745,3,1.0613,0.6837
42,17,0.0,3,0.5188,2,0.8113,0.5
42,18,0.0,3,0.1625,3,0.978,0.1845
42,19,0.0,3,1.4895,4,1.8352,0.8153
42,20,0.0,3,0.638,2,0.5226,0.9079
42,21,0.0,3,0.8302,4,1.4832,0.508
42,22,0.0,3,1.4184,5,2.2925,0.4184
42,23,0.0,3,0.7436,3,1.2419,0.5017
42,24,0.0,3,0.3416,5,1.3372,0.2969
42,25,0.0,3,0.9115,4,1.6895,0.383
55,1,0.0,3,-0.2351,5,1.0574,
55,2,0.0,0,-0.5,1,-0.0,0.0
55,3,0.0,3,-0.1598,3,0.6784,0.1618
55,4,0.0,3,1.0771,4,1.8078,0.4303
55,5,0.0,3,0.3568,3,0.8031,0.5537
55,6,0.0,3,1.3168,5,2.1219,0.4874
55,7,0.0,3,0.3646,2,0.65,0.5071
55,8,0.0,3,0.0874,3,0.6998,0.3876
55,9,0.0,3,0.0129,4,0.8795,0.2944
55,10,0.0,3,1.3516,4,1.9591,0.5535
55,11,0.0,3,1.5052,4,1.9219,0.7443
55,12,0.0,3,1.2477,4,1.7652,0.6435
55,13,0.0,3,0.8991,5,1.8811,0.3105
55,14,0.0,3,0.1613,2,0.5226,0.4312
55,15,0.0,3,1.249,4,1.8464,0.5636
55,16,0.0,3,1.242,4,1.8774,0.5256
55,17,0.0,3,0.8338,5,1.9183,0.208
55,18,0.0,3,0.7266,4,1.4942,0.3934
55,19,0.0,3,0.6548,4,1.523,0.2928
55,20,0.0,3,0.7366,5,1.7843,0.2448
55,21,0.0,3,0.0015,1,-0.0,0.5015
55,22,0.0,3,1.1616,5,1.8962,0.5579
55,23,0.0,3,0.1514,3,0.6998,0.4516
55,24,0.0,3,0.8883,5,1.8074,0.3734
55,25,0.0,3,0.9157,5,2.0606,0.1476
123,1,0.0,3,-0.246,5,1.0465,
123,2,0.0,3,0.1629,5,1.3114,0.144
123,3,0.0,3,-0.0034,4,0.9414,0.2162
123,4,0.0,3,0.7778,4,1.685,0.2538
123,5,0.0,3,-0.0657,3,0.549,0.3853
123,6,0.0,3,1.3474,4,1.9501,0.5583
123,7,0.0,3,1.1882,3,1.4949,0.6933
123,8,0.0,3,1.3461,5,2.1887,0.4499
123,9,0.0,3,0.5788,2,0.5665,0.8048
123,10,0.0,3,0.7326,5,1.6137,0.4114
123,11,0.0,3,0.4109,5,1.6267,0.0767
123,12,0.0,3,0.4112,5,1.6166,0.0871
123,13,0.0,3,0.107,3,0.8167,0.2903
123,14,0.0,3,1.5519,5,2.1493,0.6951
123,15,0.0,3,0.5224,3,0.9056,0.6168
123,16,0.0,3,0.3285,2,0.684,0.437
123,17,0.0,3,0.4157,5,1.4082,0.3
123,18,0.0,3,-0.1654,3,0.4972,0.3374
123,19,0.0,3,1.5687,5,2.2569,0.6043
123,20,0.0,3,0.3297,2,0.5033,0.6189
123,21,0.0,3,0.6019,3,1.1488,0.4531
123,22,0.0,2,0.007,3,0.9219,0.0851
123,23,0.0,3,0.3422,4,1.1451,0.3581
123,24,0.0,3,0.5774,4,1.5546,0.1838
123,25,0.0,3,0.1047,3,0.6402,0.4645
314,1,0.0,3,-0.2196,5,1.0729,
314,2,0.0,3,-0.1026,4,0.8892,0.1692
314,3,0.0,3,-0.1957,3,0.549,0.2553
314,4,0.0,3,1.1228,5,1.961,0.4543
314,5,0.0,3,0.8214,4,1.75,0.2324
314,6,0.0,3,0.8148,2,0.9457,0.6616
314,7,0.0,3,-0.0404,1,-0.0,0.4596
314,8,0.0,0,-0.5,1,-0.0,0.0
314,9,0.0,0,-0.5,1,-0.0,0.0
314,10,0.0,0,-0.5,1,-0.0,0.0
314,11,0.0,3,0.0388,2,0.5665,0.2648
314,12,0.0,3,0.2786,2,0.8905,0.1806
314,13,0.0,3,0.2374,2,0.9612,0.0687
314,14,0.0,3,0.8806,5,1.6738,0.4993
314,15,0.0,3,0.3853,3,1.0409,0.3444
314,16,0.0,3,0.4817,3,0.9913,0.4904
314,17,0.0,3,-0.1447,1,-0.0,0.3553
314,18,0.0,3,-0.0957,2,0.469,0.2278
314,19,0.0,3,1.6511,5,2.2464,0.6972
314,20,0.0,3,1.0624,3,1.5466,0.5158
314,21,0.0,3,0.7971,5,1.6267,0.4629
314,22,0.0,3,0.1493,3,0.8031,0.3462
314,23,0.0,3,1.1623,4,1.9,0.4233
314,24,0.0,3,0.5689,2,0.8631,0.4983
314,25,0.0,3,1.1376,3,1.5,0.6376
456,1,0.0,3,-0.1289,5,1.1636,
456,2,0.0,3,0.1124,4,1.1511,0.1223
456,3,0.0,3,-0.0933,3,0.7345,0.1722
456,4,0.0,3,0.751,4,1.614,0.298
456,5,0.0,3,0.0399,2,0.3912,0.4412
456,6,0.0,3,-0.3011,1,-0.0,0.1989
456,7,0.0,3,-0.2963,2,0.3228,0.1734
456,8,0.0,3,1.8499,5,2.1714,0.971
456,9,0.0,3,0.9421,3,1.1488,0.7933
456,10,0.0,3,0.8339,4,1.5488,0.4461
456,11,0.0,3,-0.0007,3,0.6998,0.2995
456,12,0.0,3,0.1907,3,0.8031,0.3876
456,13,0.0,3,0.5743,4,1.4108,0.3245
456,14,0.0,3,-0.0218,1,-0.0,0.4782
456,15,0.0,3,-0.0755,3,0.6686,0.2559
456,16,0.0,3,0.8677,5,1.7804,0.3798
456,17,0.0,3,0.3407,4,1.2366,0.2651
456,18,0.0,2,0.1811,3,0.9056,0.2755
456,19,0.0,3,-0.0023,4,0.806,0.3527
456,20,0.0,3,1.1288,4,1.7842,0.5056
456,21,0.0,3,0.9103,4,1.8366,0.2347
456,22,0.0,3,0.0974,1,-0.0,0.5974
456,23,0.0,0,-0.5,1,-0.0,0.0
456,24,0.0,2,0.7668,3,1.2988,0.468
456,25,0.0,3,0.7223,4,1.6729,0.2104
789,1,0.0,3,-0.0118,4,1.1492,
789,2,0.0,3,0.0648,5,1.1826,0.1747
789,3,0.0,3,-0.1866,2,0.3298,0.2761
789,4,0.0,3,0.0962,4,1.0239,0.2333
789,5,0.0,3,0.8912,5,1.8776,0.3061
789,6,0.0,3,1.139,4,1.8911,0.4089
789,7,0.0,2,0.4717,2,0.7219,0.5423
789,8,0.0,1,-0.1713,1,-0.0,0.3287
789,9,0.0,3,1.2561,5,1.9698,0.5788
789,10,0.0,3,0.5913,4,1.4466,0.3057
789,11,0.0,3,0.6737,4,1.4961,0.3386
789,12,0.0,3,0.2993,3,1.0409,0.2584
789,13,0.0,3,0.7157,4,1.4183,0.4584
789,14,0.0,3,1.3673,5,2.2464,0.4134
789,15,0.0,3,0.2832,5,1.1387,0.437
789,16,0.0,3,0.1642,4,1.1542,0.171
789,17,0.0,3,0.4197,4,1.2116,0.3691
789,18,0.0,3,-0.0412,3,0.6686,0.2902
789,19,0.0,3,1.6269,5,2.2855,0.6339
789,20,0.0,3,0.9371,5,1.8289,0.4007
789,21,0.0,3,0.2951,4,1.1401,0.316
789,22,0.0,3,0.6027,5,1.6235,0.2717
789,23,0.0,3,0.5366,5,1.6738,0.1553
789,24,0.0,3,1.0236,4,1.7882,0.3964
789,25,0.0,2,0.0068,3,0.5132,0.4936
999,1,0.0,3,-0.1841,5,1.1084,
999,2,0.0,3,0.6915,5,1.7642,0.2198
999,3,0.0,3,0.3394,5,1.4486,0.1833
999,4,0.0,3,0.7724,5,1.8521,0.2128
999,5,0.0,3,0.7991,4,1.614,0.3461
999,6,0.0,3,-0.0638,3,0.569,0.3672
999,7,0.0,3,0.949,4,1.6172,0.4928
999,8,0.0,3,1.0149,4,1.7925,0.3834
999,9,0.0,3,0.9774,5,1.9751,0.2948
999,10,0.0,3,1.1329,4,1.871,0.4229
999,11,0.0,3,0.8983,5,1.6714,0.5194
999,12,0.0,3,0.303,3,1.0141,0.2889
999,13,0.0,3,0.9396,4,1.574,0.5266
999,14,0.0,3,0.0064,4,0.7654,0.402
999,15,0.0,3,-0.0882,3,0.6402,0.2716
999,16,0.0,3,0.2838,3,0.9445,0.3393
999,17,0.0,3,0.2684,5,1.2495,0.3114
999,18,0.0,3,-0.135,2,0.3373,0.3202
