seed,rate,cycles,cycles_per_1k,classic_types,cprime_sig_count,cprime_sig_entropy,drift_fraction,drift_count,mean_cp_types,mean_cp_entropy,mean_cp_coexistence,spr,X,min_links,elapsed
123,0.0,274,54.8,2,84,5.3006,0.6204,170,5.56,1.8548,0.48,0.1201,0.464,155,28.4
1337,0.0,292,58.4,2,78,5.1621,0.5856,171,5.32,1.7828,0.6,0.1142,0.4853,171,28.1
2024,0.0,317,63.4,2,77,4.9749,0.5773,183,5.08,1.7885,0.76,0.1112,0.482,171,28.1
314,0.0,236,47.2,2,67,5.036,0.5551,131,4.24,1.6217,0.48,0.1202,0.472,162,28.5
42,0.0,264,52.8,2,73,5.2263,0.6667,176,5.44,1.8527,0.68,0.1158,0.4678,174,28.0
456,0.0,248,49.6,2,65,4.9294,0.5685,141,4.72,1.6404,0.48,0.1348,0.4744,164,28.4
55,0.0,270,54.0,2,68,5.0511,0.5815,157,5.12,1.842,0.52,0.1128,0.4869,156,28.0
7,0.0,267,53.4,2,79,5.1816,0.6479,173,5.0,1.79,0.6,0.1356,0.4728,182,28.9
789,0.0,300,60.0,2,83,5.1181,0.5767,173,5.48,1.8619,0.6,0.11,0.4792,176,28.3
999,0.0,287,57.4,2,81,5.2673,0.6028,173,5.0,1.7157,0.64,0.1244,0.4827,176,28.3
123,0.0005,258,51.6,2,65,4.7536,0.5039,130,4.72,1.7131,0.6,0.1324,0.464,186,29.3
1337,0.0005,233,46.6,2,66,5.0487,0.6009,140,5.08,1.8231,0.48,0.1329,0.4851,183,29.1
2024,0.0005,238,47.6,2,65,4.9542,0.5588,133,4.84,1.7504,0.52,0.1214,0.4884,182,29.6
314,0.0005,288,57.6,2,81,5.1684,0.5625,162,5.04,1.724,0.64,0.1076,0.4748,171,29.3
42,0.0005,253,50.6,2,71,5.1944,0.6364,161,4.8,1.6998,0.44,0.1112,0.4702,180,28.7
456,0.0005,277,55.4,2,76,5.1422,0.6318,175,5.08,1.7201,0.56,0.1196,0.4591,180,28.6
55,0.0005,234,46.8,2,70,5.0792,0.594,139,4.52,1.6707,0.48,0.1048,0.4669,168,28.9
7,0.0005,273,54.6,2,85,5.177,0.5788,158,4.8,1.7123,0.48,0.1201,0.4827,186,29.3
789,0.0005,293,58.6,2,81,5.2079,0.6007,176,4.76,1.7342,0.56,0.108,0.4714,187,29.2
999,0.0005,194,38.8,2,64,5.0962,0.6082,118,4.4,1.7122,0.28,0.138,0.4987,163,28.6
123,0.001,253,50.6,2,64,4.7859,0.5257,133,4.16,1.566,0.44,0.1063,0.4768,174,28.7
1337,0.001,247,49.4,2,65,4.8259,0.5628,139,4.28,1.5314,0.4,0.12,0.474,169,29.0
2024,0.001,247,49.4,2,63,4.9453,0.5668,140,4.56,1.6724,0.44,0.1129,0.4743,171,28.6
314,0.001,193,38.6,2,65,4.8967,0.513,99,4.0,1.492,0.4,0.1037,0.493,151,28.7
42,0.001,315,63.0,2,79,5.2077,0.6032,190,5.08,1.7421,0.76,0.1248,0.4806,175,28.6
456,0.001,245,49.0,2,71,5.2337,0.649,159,5.08,1.7868,0.44,0.1066,0.4747,180,29.8
55,0.001,277,55.4,2,75,5.133,0.5993,166,4.68,1.6458,0.4,0.1178,0.4774,168,29.1
7,0.001,248,49.6,2,70,5.0968,0.6331,157,4.36,1.6329,0.48,0.1142,0.4679,178,28.6
789,0.001,296,59.2,2,83,5.422,0.625,185,5.36,1.8641,0.52,0.113,0.4664,161,28.9
999,0.001,223,44.6,2,68,5.1183,0.5874,131,4.8,1.7641,0.4,0.1383,0.4701,163,28.8
123,0.002,316,63.2,2,70,4.8945,0.5475,173,4.8,1.7273,0.72,0.1247,0.49,182,28.4
1337,0.002,294,58.8,2,67,4.9315,0.5748,169,5.32,1.8077,0.56,0.1447,0.484,177,28.6
2024,0.002,304,60.8,2,71,4.9816,0.5559,169,4.88,1.6834,0.64,0.129,0.4932,174,29.1
314,0.002,240,48.0,2,67,4.8138,0.5208,125,4.24,1.5464,0.6,0.114,0.4798,174,28.9
42,0.002,247,49.4,2,64,4.992,0.5951,147,5.0,1.8441,0.48,0.1307,0.4738,174,29.4
456,0.002,244,48.8,2,78,5.298,0.6434,157,5.36,1.8873,0.52,0.1228,0.4717,180,28.7
