seed,intrusion_rate,cycles,cycles_per_1k,cycle_type_count,cycle_type_entropy,top1_share,mean_island,coexistence_rate,island_births_1k,island_deaths_1k,mean_turnover,boundary_crossing_1k,rigidity_index,swap_events,spr,X,min_links,runaway,elapsed
123,0.0,274,54.8,2,0.9551,0.6241,1.96,0.52,9.8,9.6,0,0.0,1.0,0,0.1201,0.464,155,False,28.5
1337,0.0,292,58.4,2,0.9752,0.5925,1.96,0.64,9.8,9.6,0,0.0,1.0,0,0.1142,0.4853,171,False,28.0
2024,0.0,317,63.4,2,0.9635,0.612,1.56,0.48,7.8,6.8,0,0.0,1.0,0,0.1112,0.482,171,False,28.7
314,0.0,236,47.2,2,0.9674,0.6059,1.76,0.52,8.8,8.4,0,0.0,1.0,0,0.1202,0.472,162,False,28.1
42,0.0,264,52.8,2,0.922,0.6629,1.88,0.56,9.4,9.2,0,0.0,1.0,0,0.1158,0.4678,174,False,28.1
456,0.0,248,49.6,2,0.9655,0.6089,1.92,0.56,9.6,9.4,0,0.0,1.0,0,0.1348,0.4744,164,False,28.6
55,0.0,270,54.0,2,0.9665,0.6074,2.04,0.64,10.2,9.6,0,0.0,1.0,0,0.1128,0.4869,156,False,28.1
7,0.0,267,53.4,2,0.9359,0.6479,2.12,0.68,10.6,9.6,0,0.0,1.0,0,0.1356,0.4728,182,False,29.0
789,0.0,300,60.0,2,0.9626,0.6133,1.68,0.56,8.4,7.8,0,0.0,1.0,0,0.11,0.4792,176,False,28.8
999,0.0,287,57.4,2,0.9358,0.6481,1.76,0.64,8.8,8.2,0,0.0,1.0,0,0.1244,0.4827,176,False,28.5
123,0.0005,258,51.6,2,0.9632,0.6124,2.12,0.68,10.4,10.0,0.75,0.0,0.571,13,0.1324,0.464,186,False,28.5
1337,0.0005,233,46.6,2,0.9564,0.6223,1.72,0.52,8.6,8.0,0,0.0,1.0,15,0.1329,0.4851,183,False,28.4
2024,0.0005,238,47.6,2,0.9597,0.6176,1.8,0.6,9.0,8.2,0,0.0,1.0,18,0.1214,0.4884,182,False,29.1
314,0.0005,288,57.6,2,0.957,0.6215,1.4,0.48,7.0,7.0,0,0.0,1.0,11,0.1076,0.4748,171,False,28.2
42,0.0005,253,50.6,2,0.9488,0.6324,1.6,0.4,8.0,7.8,0,0.0,1.0,20,0.1112,0.4702,180,False,28.8
456,0.0005,277,55.4,2,0.931,0.6534,1.68,0.56,8.4,8.0,0,0.0,1.0,21,0.1196,0.4591,180,False,28.7
55,0.0005,234,46.8,2,0.9612,0.6154,1.8,0.64,9.0,8.6,0,0.0,1.0,16,0.1048,0.4669,168,False,28.4
7,0.0005,273,54.6,2,0.9561,0.6227,2.16,0.72,10.6,9.8,0.6667,0.0,0.6,22,0.1201,0.4827,186,False,28.4
