seed,rate,window,H3_base,H3_probe,dH_probe,J3_base,J3_probe,tc3_base,tc3_probe,dH32_base,dH32_probe
7,0.0,1,1.0041,1.0041,0.0,-0.2884,-0.2884,5,5,0.1683,0.1683
7,0.0,2,1.1918,1.1918,0.0,-0.025,-0.025,5,5,0.2627,0.2627
7,0.0,3,0.7654,1.0144,0.249,-0.1868,-0.025,4,5,0.2522,0.5012
7,0.0,4,2.1133,2.1133,0.0,1.6985,1.6985,5,5,0.3606,0.3606
7,0.0,5,1.3716,1.3716,0.0,0.9392,0.9392,4,4,0.0,0.0
7,0.0,6,1.9363,1.9363,0.0,1.2176,1.2176,4,4,0.0,0.0
7,0.0,7,0.9024,0.9024,0.0,0.9303,0.9303,2,2,0.9024,0.9024
7,0.0,8,0.8167,0.8167,0.0,0.3146,0.3146,3,3,0.0,0.0
7,0.0,9,1.9219,1.9219,0.0,1.6071,1.6071,4,4,0.0,0.0
7,0.0,10,0.5917,0.5917,0.0,0.7992,0.7992,2,2,0.5917,0.5917
7,0.0,11,0.8343,0.8343,0.0,0.1028,0.1028,3,3,0.3117,0.3117
7,0.0,12,1.0848,1.0848,0.0,0.2648,0.2648,4,4,0.5544,0.5544
7,0.0,13,0.3912,0.3912,0.0,-0.1639,-0.1639,2,2,0.3912,0.3912
7,0.0,14,1.8407,1.8407,0.0,1.0096,1.0096,5,5,0.7545,0.7545
7,0.0,15,0.6998,0.6998,0.0,0.1655,0.1655,3,3,0.0,0.0
7,0.0,16,1.9301,1.9301,0.0,1.1054,1.1054,5,5,0.6935,0.6935
7,0.0,17,0.6194,0.6194,0.0,0.2565,0.2565,2,2,0.6194,0.6194
7,0.0,18,1.2419,1.2419,0.0,0.7432,0.7432,3,3,0.0,0.0
7,0.0,19,2.1604,2.1604,0.0,1.2527,1.2527,5,5,0.3275,0.3275
7,0.0,20,1.1181,1.1181,0.0,0.5298,0.5298,3,3,0.0,0.0
7,0.0,21,1.8074,1.8074,0.0,0.9205,0.9205,5,5,0.5157,0.5157
7,0.0,22,0.3095,0.3095,0.0,-0.0463,-0.0463,2,2,0.3095,0.3095
7,0.0,23,1.6767,1.6767,0.0,1.0112,1.0112,4,4,0.8108,0.8108
7,0.0,24,1.9183,1.9183,0.0,1.4354,1.4354,4,4,0.0,0.0
7,0.0,25,1.5852,1.5852,0.0,0.8311,0.8311,5,5,0.3548,0.3548
42,0.0,1,1.1313,1.1313,0.0,-0.1611,-0.1611,5,5,0.3109,0.3109
42,0.0,2,1.6187,1.6187,0.0,0.48,0.48,5,5,0.3307,0.3307
42,0.0,3,1.5284,1.5284,0.0,0.6164,0.6164,4,4,0.3702,0.3702
42,0.0,4,0.7345,0.7345,0.0,0.0071,0.0071,3,3,0.0,0.0
42,0.0,5,1.2415,1.2415,0.0,0.4846,0.4846,4,4,0.6019,0.6019
42,0.0,6,1.2375,1.2375,0.0,0.2951,0.2951,4,4,0.2024,0.2024
42,0.0,7,1.8248,1.8248,0.0,0.9365,0.9365,4,4,0.6093,0.6093
42,0.0,8,0.5665,0.5665,0.0,0.2283,0.2283,2,2,0.5665,0.5665
42,0.0,9,1.4838,1.4838,0.0,0.7251,0.7251,4,4,0.335,0.335
42,0.0,10,0.2975,0.2975,0.0,-0.0887,-0.0887,2,2,0.2975,0.2975
42,0.0,11,1.4015,1.4015,0.0,0.4456,0.4456,5,5,0.3752,0.3752
42,0.0,12,1.5134,1.5134,0.0,0.6123,0.6123,4,4,0.3953,0.3953
42,0.0,13,1.3603,1.3603,0.0,0.3064,0.3064,4,4,0.5198,0.5198
42,0.0,14,1.0892,1.0892,0.0,0.0252,0.0252,4,4,0.3547,0.3547
42,0.0,15,2.0458,2.0458,0.0,1.3623,1.3623,5,5,0.4992,0.4992
42,0.0,16,1.0613,1.0613,0.0,0.745,0.745,3,3,0.0,0.0
42,0.0,17,0.8113,0.8113,0.0,0.5188,0.5188,2,2,0.8113,0.8113
42,0.0,18,0.978,0.978,0.0,0.1625,0.1625,3,3,0.6552,0.6552
42,0.0,19,1.8352,1.8352,0.0,1.4896,1.4896,4,4,0.0,0.0
42,0.0,20,0.5226,0.5226,0.0,0.638,0.638,2,2,0.5226,0.5226
42,0.0,21,1.4832,1.4832,0.0,0.8303,0.8303,4,4,0.0,0.0
42,0.0,22,2.2925,2.2925,0.0,1.4184,1.4184,5,5,0.4046,0.4046
42,0.0,23,1.2419,1.2419,0.0,0.7436,0.7436,3,3,0.0,0.0
42,0.0,24,1.3372,1.3372,0.0,0.3417,0.3417,5,5,0.2789,0.2789
42,0.0,25,1.6895,1.6895,0.0,0.9115,0.9115,4,4,0.7839,0.7839
55,0.0,1,1.0574,1.0574,0.0,-0.2351,-0.2351,5,5,0.2433,0.2433
55,0.0,2,0.5836,0.5836,0.0,-0.5729,-0.5729,5,5,0.0946,0.0946
55,0.0,3,0.6784,0.6784,0.0,-0.1598,-0.1598,3,3,0.0,0.0
55,0.0,4,1.8078,1.8078,0.0,1.0771,1.0771,4,4,0.6482,0.6482
55,0.0,5,0.8031,0.8031,0.0,0.3568,0.3568,3,3,0.0,0.0
55,0.0,6,2.1219,2.1219,0.0,1.3168,1.3168,5,5,0.5509,0.5509
55,0.0,7,0.65,0.65,0.0,0.3646,0.3646,2,2,0.65,0.65
55,0.0,8,0.6998,0.6998,0.0,0.0874,0.0874,3,3,0.0,0.0
55,0.0,9,0.8795,0.8795,0.0,0.0129,0.0129,4,4,0.2888,0.2888
55,0.0,10,1.9591,1.9591,0.0,1.3517,1.3517,4,4,0.4591,0.4591
55,0.0,11,1.9219,1.9219,0.0,1.5053,1.5053,4,4,0.4,0.4
55,0.0,12,1.7652,1.7652,0.0,1.2478,1.2478,4,4,0.0,0.0
55,0.0,13,1.8811,1.8811,0.0,0.8991,0.8991,5,5,0.5291,0.5291
55,0.0,14,0.5226,0.5226,0.0,0.1613,0.1613,2,2,0.5226,0.5226
55,0.0,15,1.8464,1.8464,0.0,1.2491,1.2491,4,4,0.3609,0.3609
55,0.0,16,1.8774,1.8774,0.0,1.242,1.242,4,4,0.5903,0.5903
55,0.0,17,1.9183,1.9183,0.0,0.8338,0.8338,5,5,0.418,0.418
55,0.0,18,1.4942,1.4942,0.0,0.7266,0.7266,4,4,0.2475,0.2475
55,0.0,19,1.523,1.523,0.0,0.6548,0.6548,4,4,0.0,0.0
55,0.0,20,1.7843,1.7843,0.0,0.7366,0.7366,5,5,0.4238,0.4238
55,0.0,21,-0.0,-0.0,0.0,0.0015,0.0015,1,1,0.0,0.0
55,0.0,22,1.8962,1.8962,0.0,1.1617,1.1617,5,5,0.6887,0.6887
55,0.0,23,0.6998,0.6998,0.0,0.1514,0.1514,3,3,0.0,0.0
55,0.0,24,1.8074,1.8074,0.0,0.8883,0.8883,5,5,0.5157,0.5157
55,0.0,25,2.0606,2.0606,0.0,0.9157,0.9157,5,5,0.3842,0.3842
123,0.0,1,1.0465,1.0465,0.0,-0.246,-0.246,5,5,0.3468,0.3468
123,0.0,2,1.3114,1.3114,0.0,0.163,0.163,5,5,0.2055,0.2055
123,0.0,3,0.9414,0.9414,0.0,-0.0033,-0.0033,4,4,0.3724,0.3724
123,0.0,4,1.685,1.685,0.0,0.7778,0.7778,4,4,0.5629,0.5629
123,0.0,5,0.549,0.549,0.0,-0.0657,-0.0657,3,3,0.0,0.0
123,0.0,6,1.9501,1.9501,0.0,1.3474,1.3474,4,4,0.4239,0.4239
123,0.0,7,1.4949,1.4949,0.0,1.1882,1.1882,3,3,0.0,0.0
123,0.0,8,2.1887,2.1887,0.0,1.3461,1.3461,5,5,0.2296,0.2296
123,0.0,9,0.5665,0.5665,0.0,0.5788,0.5788,2,2,0.0,0.0
123,0.0,10,1.6137,1.6137,0.0,0.7326,0.7326,5,5,0.2921,0.2921
123,0.0,11,1.6267,1.6267,0.0,0.4109,0.4109,5,5,0.335,0.335
123,0.0,12,1.6166,1.6166,0.0,0.4113,0.4113,5,5,0.4248,0.4248
123,0.0,13,0.8167,1.2075,0.3908,0.107,0.3935,3,4,0.4029,0.7937
123,0.0,14,2.1493,2.1493,0.0,1.5519,1.5597,5,5,0.1708,0.1708
123,0.0,15,0.9056,0.9056,0.0,0.5224,0.5224,3,3,0.0,0.0
123,0.0,16,0.684,0.684,0.0,0.3286,0.3286,2,2,0.684,0.684
123,0.0,17,1.4082,1.4082,0.0,0.4157,0.4157,5,5,0.5082,0.5082
123,0.0,18,0.4972,0.4972,0.0,-0.1654,-0.1654,3,3,0.0,0.0
123,0.0,19,2.2569,2.2569,0.0,1.5687,1.5687,5,5,0.4491,0.4491
123,0.0,20,0.5033,0.5033,0.0,0.3297,0.3297,2,2,0.5033,0.5033
123,0.0,21,1.1488,1.1488,0.0,0.6019,0.6019,3,3,0.0,0.0
123,0.0,22,0.9219,0.9219,0.0,0.007,0.007,3,3,0.0,0.0
123,0.0,23,1.1451,1.1451,0.0,0.3422,0.3422,4,4,0.3719,0.3719
123,0.0,24,1.5546,1.5546,0.0,0.5774,0.5774,4,4,0.649,0.649
123,0.0,25,0.6402,0.6402,0.0,0.1047,0.1047,3,3,0.0,0.0
314,0.0,1,1.0729,1.0729,0.0,-0.2196,-0.2196,5,5,0.2972,0.2972
314,0.0,2,0.8892,0.8892,0.0,-0.1025,-0.1025,4,4,0.528,0.528
314,0.0,3,0.549,0.8181,0.2691,-0.1957,-0.0466,3,4,0.2728,0.5419
314,0.0,4,1.961,1.961,0.0,1.1228,1.1395,5,5,0.39,0.39
314,0.0,5,1.75,1.75,0.0,0.8214,0.8214,4,4,0.0,0.0
314,0.0,6,0.9457,0.9457,0.0,0.8148,0.8148,2,2,0.9457,0.9457
314,0.0,7,-0.0,-0.0,0.0,-0.0404,-0.0404,1,1,0.0,0.0
314,0.0,8,-0.0,-0.0,0.0,-0.5,-0.5,1,1,0.0,0.0
314,0.0,9,-0.0,-0.0,0.0,-0.5,-0.5,1,1,0.0,0.0
314,0.0,10,-0.0,-0.0,0.0,-0.5,-0.5,1,1,0.0,0.0
314,0.0,11,0.5665,0.5665,0.0,0.0388,0.0388,2,2,0.5665,0.5665
314,0.0,12,0.8905,0.8905,0.0,0.2786,0.2786,2,2,0.8905,0.8905
314,0.0,13,0.9612,0.9612,0.0,0.2375,0.2375,2,2,0.9612,0.9612
314,0.0,14,1.6738,1.6738,0.0,0.8806,0.8806,5,5,0.3022,0.3022
314,0.0,15,1.0409,1.4183,0.3774,0.3853,0.6531,3,4,0.0,0.3774
314,0.0,16,0.9913,0.9913,0.0,0.4817,0.5249,3,3,0.6001,0.6001
314,0.0,17,-0.0,-0.0,0.0,-0.1447,-0.1447,1,1,0.0,0.0
314,0.0,18,0.469,0.469,0.0,-0.0957,-0.0957,2,2,0.469,0.469
314,0.0,19,2.2464,2.2464,0.0,1.6512,1.6512,5,5,0.4,0.4
314,0.0,20,1.5466,1.5466,0.0,1.0624,1.0624,3,3,0.0,0.0
314,0.0,21,1.6267,1.6267,0.0,0.7971,0.7971,5,5,0.5375,0.5375
314,0.0,22,0.8031,0.8031,0.0,0.1493,0.1493,3,3,0.0,0.0
314,0.0,23,1.9,1.9,0.0,1.1624,1.1624,4,4,0.5035,0.5035
314,0.0,24,0.8631,0.8631,0.0,0.5689,0.5689,2,2,0.8631,0.8631
314,0.0,25,1.5,1.5,0.0,1.1376,1.1376,3,3,0.0,0.0
456,0.0,1,1.1636,1.1636,0.0,-0.1289,-0.1289,5,5,0.1767,0.1767
456,0.0,2,1.1511,1.1511,0.0,0.1124,0.1124,4,4,0.2411,0.2411
456,0.0,3,0.7345,0.7345,0.0,-0.0933,-0.0933,3,3,0.0,0.0
456,0.0,4,1.614,1.614,0.0,0.751,0.751,4,4,0.3624,0.3624
456,0.0,5,0.3912,0.3912,0.0,0.04,0.04,2,2,0.3912,0.3912
456,0.0,6,-0.0,-0.0,0.0,-0.3011,-0.3011,1,1,0.0,0.0
456,0.0,7,0.3228,0.3228,0.0,-0.2963,-0.2963,2,2,0.3228,0.3228
456,0.0,8,2.1714,2.1714,0.0,1.8499,1.8499,5,5,0.4242,0.4242
456,0.0,9,1.1488,1.1488,0.0,0.9421,0.9421,3,3,0.0,0.0
456,0.0,10,1.5488,1.5488,0.0,0.8339,0.8339,4,4,0.4875,0.4875
456,0.0,11,0.6998,0.6998,0.0,-0.0007,-0.0007,3,3,0.0,0.0
456,0.0,12,0.8031,0.8031,0.0,0.1907,0.1907,3,3,0.2998,0.2998
456,0.0,13,1.4108,1.4108,0.0,0.5744,0.5744,4,4,0.7964,0.7964
456,0.0,14,-0.0,-0.0,0.0,-0.0218,-0.0218,1,1,0.0,0.0
456,0.0,15,0.6686,0.9934,0.3248,-0.0755,0.1498,3,4,0.3313,0.6561
456,0.0,16,1.7804,1.7804,0.0,0.8678,0.898,5,5,0.4588,0.4588
456,0.0,17,1.2366,1.2366,0.0,0.3408,0.3408,4,4,0.0,0.0
456,0.0,18,0.9056,1.2366,0.331,0.1811,0.4046,3,4,0.0,0.331
456,0.0,19,0.806,0.806,0.0,-0.0023,0.0456,4,4,0.3633,0.3633
456,0.0,20,1.7842,1.7842,0.0,1.1288,1.1288,4,4,0.3008,0.3008
456,0.0,21,1.8366,1.8366,0.0,0.9103,0.9103,4,4,0.6122,0.6122
456,0.0,22,-0.0,-0.0,0.0,0.0974,0.0974,1,1,0.0,0.0
456,0.0,23,-0.0,-0.0,0.0,-0.5,-0.5,1,1,0.0,0.0
456,0.0,24,1.2988,1.2988,0.0,0.7668,0.7668,3,3,0.0,0.0
456,0.0,25,1.6729,1.6729,0.0,0.7223,0.7223,4,4,0.3019,0.3019
789,0.0,1,1.1492,1.1492,0.0,-0.0118,-0.0118,4,4,0.3835,0.3835
789,0.0,2,1.1826,1.1826,0.0,0.0648,0.0648,5,5,0.395,0.395
789,0.0,3,0.3298,0.3298,0.0,-0.1865,-0.1865,2,2,0.3298,0.3298
789,0.0,4,1.0239,1.0239,0.0,0.0962,0.0962,4,4,0.5267,0.5267
789,0.0,5,1.8776,1.8776,0.0,0.8912,0.8912,5,5,0.5976,0.5976
789,0.0,6,1.8911,1.8911,0.0,1.139,1.139,4,4,0.0,0.0
789,0.0,7,0.7219,0.7219,0.0,0.4717,0.4717,2,2,0.0,0.0
789,0.0,8,-0.0,-0.0,0.0,-0.1713,-0.1713,1,1,0.0,0.0
789,0.0,9,1.9698,1.9698,0.0,1.2561,1.2561,5,5,0.2664,0.2664
789,0.0,10,1.4466,1.4466,0.0,0.5914,0.5914,4,4,0.4602,0.4602
789,0.0,11,1.4961,1.4961,0.0,0.6737,0.6737,4,4,0.4737,0.4737
789,0.0,12,1.0409,1.0409,0.0,0.2993,0.2993,3,3,0.0,0.0
789,0.0,13,1.4183,1.4183,0.0,0.7157,0.7157,4,4,0.6016,0.6016
789,0.0,14,2.2464,2.2464,0.0,1.3674,1.3674,5,5,0.4854,0.4854
789,0.0,15,1.1387,1.1387,0.0,0.2832,0.2832,5,5,0.2387,0.2387
789,0.0,16,1.1542,1.1542,0.0,0.1643,0.1643,4,4,0.0,0.0
789,0.0,17,1.2116,1.2116,0.0,0.4197,0.4197,4,4,0.5897,0.5897
789,0.0,18,0.6686,0.6686,0.0,-0.0412,-0.0412,3,3,0.0,0.0
789,0.0,19,2.2855,2.2855,0.0,1.6269,1.6269,5,5,0.3449,0.3449
789,0.0,20,1.8289,1.8289,0.0,0.9371,0.9371,5,5,0.7314,0.7314
789,0.0,21,1.1401,1.1401,0.0,0.2951,0.2951,4,4,0.4999,0.4999
789,0.0,22,1.6235,1.6235,0.0,0.6027,0.6027,5,5,0.2195,0.2195
789,0.0,23,1.6738,1.6738,0.0,0.5366,0.5366,5,5,0.4875,0.4875
789,0.0,24,1.7882,1.7882,0.0,1.0237,1.0237,4,4,0.0,0.0
789,0.0,25,0.5132,0.5132,0.0,0.0068,0.0068,3,3,0.0,0.0
999,0.0,1,1.1084,1.1084,0.0,-0.1841,-0.1841,5,5,0.2628,0.2628
999,0.0,2,1.7642,1.7642,0.0,0.6915,0.6915,5,5,0.2988,0.2988
999,0.0,3,1.4486,1.4486,0.0,0.3394,0.3394,5,5,0.4348,0.4348
999,0.0,4,1.8521,1.8521,0.0,0.7724,0.7724,5,5,0.4396,0.4396
999,0.0,5,1.614,1.614,0.0,0.7991,0.7991,4,4,0.5731,0.5731
999,0.0,6,0.569,0.569,0.0,-0.0638,-0.0638,3,3,0.0,0.0
999,0.0,7,1.6172,1.6172,0.0,0.949,0.949,4,4,0.7513,0.7513
999,0.0,8,1.7925,1.7925,0.0,1.0149,1.0149,4,4,0.5409,0.5409
999,0.0,9,1.9751,1.9751,0.0,0.9774,0.9774,5,5,0.4913,0.4913
999,0.0,10,1.871,1.871,0.0,1.133,1.133,4,4,0.0,0.0
999,0.0,11,1.6714,1.6714,0.0,0.8983,0.8983,5,5,0.5553,0.5553
999,0.0,12,1.0141,1.0141,0.0,0.303,0.303,3,3,0.6768,0.6768
999,0.0,13,1.574,1.574,0.0,0.9396,0.9396,4,4,0.0,0.0
999,0.0,14,0.7654,0.7654,0.0,0.0064,0.0064,4,4,0.2522,0.2522
999,0.0,15,0.6402,0.6402,0.0,-0.0882,-0.0882,3,3,0.0,0.0
999,0.0,16,0.9445,1.2332,0.2887,0.2838,0.4548,3,4,0.635,0.9237
999,0.0,17,1.2495,1.2495,0.0,0.2684,0.3107,5,5,0.2613,0.2613
999,0.0,18,0.3373,0.3373,0.0,-0.135,-0.135,2,2,0.3373,0.3373
999,0.0,19,-0.0,-0.0,0.0,-0.3212,-0.3212,1,1,0.0,0.0
999,0.0,20,-0.0,-0.0,0.0,-0.5,-0.5,1,1,0.0,0.0
999,0.0,21,0.7919,0.7919,0.0,0.3609,0.3609,2,2,0.7919,0.7919
999,0.0,22,1.771,1.771,0.0,0.9003,0.9003,5,5,0.4142,0.4142
999,0.0,23,-0.0,-0.0,0.0,-0.0137,-0.0137,1,1,0.0,0.0
999,0.0,24,1.838,1.838,0.0,1.0638,1.0638,5,5,0.4333,0.4333
999,0.0,25,0.8454,0.8454,0.0,0.5005,0.5005,2,2,0.8454,0.8454
1337,0.0,1,1.3833,1.3833,0.0,0.0909,0.0909,5,5,0.2035,0.2035
1337,0.0,2,0.905,0.905,0.0,-0.0956,-0.0956,4,4,0.0,0.0
1337,0.0,3,0.9701,0.9701,0.0,0.1337,0.1337,4,4,0.5885,0.5885
1337,0.0,4,1.9595,1.9595,0.0,1.1309,1.1309,5,5,0.1767,0.1767
1337,0.0,5,-0.0,-0.0,0.0,0.0816,0.0816,1,1,0.0,0.0
1337,0.0,6,0.9274,0.9274,0.0,0.0714,0.0714,4,4,0.4142,0.4142
1337,0.0,7,1.2087,1.2087,0.0,0.2174,0.2174,4,4,0.2422,0.2422
1337,0.0,8,-0.0,-0.0,0.0,-0.1197,-0.1197,1,1,0.0,0.0
1337,0.0,9,1.9406,1.9406,0.0,1.4451,1.4451,4,4,0.0,0.0
1337,0.0,10,1.2366,1.2366,0.0,0.5363,0.5363,4,4,0.331,0.331
1337,0.0,11,-0.0,-0.0,0.0,-0.115,-0.115,1,1,0.0,0.0
1337,0.0,12,1.0389,1.0389,0.0,0.2067,0.2067,4,4,0.3391,0.3391
1337,0.0,13,1.5683,1.5683,0.0,1.164,1.164,3,3,0.0,0.0
1337,0.0,14,1.3355,1.3355,0.0,0.8129,0.8129,4,4,0.7211,0.7211
1337,0.0,15,1.2075,1.2075,0.0,0.4448,0.4448,4,4,0.0,0.0
1337,0.0,16,1.7048,1.7048,0.0,0.923,0.923,4,4,0.2302,0.2302
1337,0.0,17,1.9329,1.9329,0.0,1.3491,1.3491,4,4,0.5946,0.5946
1337,0.0,18,1.3784,1.3784,0.0,0.5338,0.5338,4,4,0.7382,0.7382
1337,0.0,19,0.8905,0.8905,0.0,0.3487,0.3487,2,2,0.8905,0.8905
1337,0.0,20,1.2776,1.2776,0.0,0.4856,0.4856,4,4,0.4117,0.4117
1337,0.0,21,0.7345,0.7345,0.0,0.0969,0.0969,3,3,0.0,0.0
1337,0.0,22,2.1133,2.1133,0.0,1.5467,1.5467,5,5,0.2222,0.2222
1337,0.0,23,1.2752,1.2752,0.0,0.7674,0.7674,4,4,0.4721,0.4721
1337,0.0,24,0.7732,0.7732,0.0,0.1661,0.1661,3,3,0.0,0.0
1337,0.0,25,1.7899,1.7899,0.0,1.0491,1.0491,4,4,0.0,0.0
2024,0.0,1,1.2885,1.2885,0.0,-0.0039,-0.0039,5,5,0.3607,0.3607
2024,0.0,2,1.0781,1.0781,0.0,-0.1416,-0.1416,5,5,0.3,0.3
2024,0.0,3,1.2332,1.2332,0.0,0.2449,0.2449,4,4,0.6188,0.6188
2024,0.0,4,0.6723,0.6723,0.0,0.1207,0.1207,2,2,0.6723,0.6723
2024,0.0,5,1.7689,1.7689,0.0,0.8396,0.8396,5,5,0.6714,0.6714
2024,0.0,6,1.2752,1.2752,0.0,0.365,0.365,4,4,0.4721,0.4721
