seed,rate,window,J3,H3,tc3,drift3,none_ratio,weak_ratio,mid_strong_ratio,n_C
7,0.0,1,-0.2884,1.0041,5,,0.887,0.0261,0.087,115
7,0.0,2,-0.025,1.1918,5,0.0757,0.8571,0.0476,0.0952,63
7,0.0,3,-0.1868,0.7654,4,0.2088,0.8696,0.0435,0.087,23
7,0.0,4,1.6985,2.1133,5,0.8777,0.3333,0.2222,0.4444,9
7,0.0,5,0.9392,1.3716,4,0.7285,0.8125,0.0,0.1875,16
7,0.0,7,0.9303,0.9024,2,0.8204,0.6818,0.3182,0.0,22
7,0.0,8,0.3146,0.8167,3,0.4979,0.9167,0.0,0.0833,12
7,0.0,10,0.7992,0.5917,2,1.0,0.8571,0.1429,0.0,7
7,0.0,11,0.1028,0.8343,3,0.2685,0.8235,0.0588,0.1176,17
7,0.0,12,0.2648,1.0848,4,0.341,0.8182,0.1364,0.0455,22
7,0.0,13,-0.1639,0.3912,2,0.2373,0.9231,0.0769,0.0,13
7,0.0,14,1.0096,1.8407,5,0.4614,0.5652,0.3043,0.1304,23
7,0.0,15,0.1655,0.6998,3,0.4657,0.9333,0.0,0.0667,15
7,0.0,16,1.1054,1.9301,5,0.4678,0.6,0.2667,0.1333,15
7,0.0,17,0.2565,0.6194,2,0.4296,0.8462,0.1538,0.0,13
7,0.0,18,0.7432,1.2419,3,0.5013,0.8,0.0,0.2,15
7,0.0,19,1.2527,2.1604,5,0.3848,0.5714,0.0952,0.3333,21
7,0.0,20,0.5298,1.1181,3,0.4117,0.8636,0.0,0.1364,22
7,0.0,21,0.9205,1.8074,5,0.4056,0.6429,0.1429,0.2143,14
7,0.0,22,-0.0463,0.3095,2,0.4366,0.9444,0.0556,0.0,18
7,0.0,23,1.0112,1.6767,4,0.4954,0.5455,0.3636,0.0909,11
7,0.0,24,1.4354,1.9183,4,0.6781,0.5,0.0,0.5,6
7,0.0,25,0.8311,1.5852,5,0.5384,0.7692,0.0769,0.1538,26
42,0.0,1,-0.1611,1.1313,5,,0.839,0.0593,0.1017,118
42,0.0,2,0.48,1.6187,5,0.1538,0.7674,0.0698,0.1628,86
42,0.0,3,0.6164,1.5284,4,0.249,0.75,0.0833,0.1667,24
42,0.0,4,0.0071,0.7345,3,0.2726,0.9286,0.0,0.0714,14
42,0.0,5,0.4846,1.2415,4,0.4041,0.76,0.16,0.08,25
42,0.0,6,0.2951,1.2375,4,0.2186,0.8276,0.0345,0.1379,29
42,0.0,7,0.9365,1.8248,4,0.2726,0.6316,0.2105,0.1579,19
42,0.0,8,0.2283,0.5665,2,0.4543,0.8667,0.1333,0.0,15
42,0.0,9,0.7251,1.4838,4,0.4022,0.7857,0.0714,0.1429,14
42,0.0,10,-0.0887,0.2975,2,0.4063,0.9474,0.0526,0.0,19
42,0.0,11,0.4456,1.4015,5,0.3366,0.8,0.08,0.12,25
42,0.0,12,0.6123,1.5134,4,0.2599,0.7727,0.0909,0.1364,22
42,0.0,13,0.3064,1.3603,4,0.1071,0.7826,0.1304,0.087,23
42,0.0,14,0.0252,1.0892,4,0.0969,0.8571,0.0714,0.0714,14
42,0.0,15,1.3623,2.0458,5,0.6089,0.3077,0.4615,0.2308,13
42,0.0,16,0.745,1.0613,3,0.6837,0.875,0.0,0.125,8
42,0.0,17,0.5188,0.8113,2,0.5,0.75,0.25,0.0,8
42,0.0,18,0.1625,0.978,3,0.1845,0.7647,0.1765,0.0588,17
42,0.0,19,1.4896,1.8352,4,0.8153,0.3571,0.2857,0.3571,14
42,0.0,20,0.638,0.5226,2,0.9079,0.8824,0.1176,0.0,17
42,0.0,21,0.8303,1.4832,4,0.508,0.7895,0.0,0.2105,19
42,0.0,22,1.4184,2.2925,5,0.4184,0.5,0.1667,0.3333,12
42,0.0,23,0.7436,1.2419,3,0.5017,0.8,0.0,0.2,15
42,0.0,24,0.3417,1.3372,5,0.2969,0.8421,0.0526,0.1053,19
42,0.0,25,0.9115,1.6895,4,0.383,0.5333,0.3333,0.1333,15
55,0.0,1,-0.2351,1.0574,5,,0.8814,0.0424,0.0763,118
55,0.0,3,-0.1598,0.6784,3,0.1618,0.913,0.0,0.087,23
55,0.0,4,1.0771,1.8078,4,0.4303,0.5882,0.2353,0.1765,17
55,0.0,5,0.3568,0.8031,3,0.5537,0.8889,0.0,0.1111,18
55,0.0,6,1.3168,2.1219,5,0.4874,0.6,0.2,0.2,10
