seed,window,rate,k,tc,H,drift,J,tH,tD,tP,k_star
7,1,0.0,0,1,-0.0,,-0.5,-0.0,0,-0.5,3
7,1,0.0,1,3,0.5132,,-0.4868,0.5132,0,-1.0,3
7,1,0.0,2,4,0.8358,,-0.3252,0.8358,0,-1.161,3
7,1,0.0,3,5,1.0041,,-0.2884,1.0041,0,-1.2925,3
7,1,0.0,4,5,1.0041,,-0.2884,1.0041,0,-1.2925,3
7,2,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
7,2,0.0,1,3,0.5412,0.0451,-0.4137,0.5412,0.0451,-1.0,3
7,2,0.0,2,4,0.9291,0.0553,-0.1766,0.9291,0.0553,-1.161,3
7,2,0.0,3,5,1.1918,0.0757,-0.025,1.1918,0.0757,-1.2925,3
7,2,0.0,4,5,1.1918,0.0757,-0.025,1.1918,0.0757,-1.2925,3
7,3,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
7,3,0.0,1,3,0.5132,0.0451,-0.4417,0.5132,0.0451,-1.0,3
7,3,0.0,2,3,0.5132,0.2081,-0.2787,0.5132,0.2081,-1.0,3
7,3,0.0,3,4,0.7654,0.2088,-0.1868,0.7654,0.2088,-1.161,3
7,3,0.0,4,4,0.7654,0.2088,-0.1868,0.7654,0.2088,-1.161,3
7,4,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
7,4,0.0,1,3,1.3516,0.366,0.7176,1.3516,0.366,-1.0,3
7,4,0.0,2,4,1.7527,0.7635,1.3552,1.7527,0.7635,-1.161,3
7,4,0.0,3,5,2.1133,0.8777,1.6985,2.1133,0.8777,-1.2925,3
7,4,0.0,4,5,2.1133,0.8777,1.6985,2.1133,0.8777,-1.2925,3
7,5,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
7,5,0.0,1,3,0.8684,0.2407,0.1091,0.8684,0.2407,-1.0,3
7,5,0.0,2,4,1.3716,0.5252,0.7358,1.3716,0.5252,-1.161,3
7,5,0.0,3,4,1.3716,0.7285,0.9391,1.3716,0.7285,-1.161,3
7,5,0.0,4,4,1.3716,0.7285,0.9391,1.3716,0.7285,-1.161,3
7,6,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,2
7,6,0.0,1,3,1.4197,0.2354,0.6551,1.4197,0.2354,-1.0,2
7,6,0.0,2,4,1.9363,0.4423,1.2176,1.9363,0.4423,-1.161,2
7,6,0.0,3,4,1.9363,0.4423,1.2176,1.9363,0.4423,-1.161,2
7,6,0.0,4,4,1.9363,0.4423,1.2176,1.9363,0.4423,-1.161,2
7,7,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
7,7,0.0,1,1,-0.0,0.5134,0.0134,-0.0,0.5134,-0.5,3
7,7,0.0,2,1,-0.0,0.7914,0.2914,-0.0,0.7914,-0.5,3
7,7,0.0,3,2,0.9024,0.8204,0.9303,0.9024,0.8204,-0.7925,3
7,7,0.0,4,2,0.9024,0.8204,0.9303,0.9024,0.8204,-0.7925,3
7,8,0.0,0,1,-0.0,0.0,-0.5,-0.0,0,-0.5,3
7,8,0.0,1,2,0.4138,0.2073,-0.1714,0.4138,0.2073,-0.7925,3
