seed,window,rate,k_star,J,tc,H
7,1,0.0,3,-0.2884,5,1.0041
7,2,0.0,3,-0.025,5,1.1918
7,3,0.0,3,-0.1868,4,0.7654
7,4,0.0,3,1.6985,5,2.1133
7,5,0.0,3,0.9391,4,1.3716
7,6,0.0,2,1.2176,4,1.9363
7,7,0.0,3,0.9303,2,0.9024
7,8,0.0,3,0.3146,3,0.8167
7,9,0.0,2,1.607,4,1.9219
7,10,0.0,3,0.7992,2,0.5917
7,11,0.0,3,0.1028,3,0.8343
7,12,0.0,3,0.2648,4,1.0848
7,13,0.0,3,-0.164,2,0.3912
7,14,0.0,3,1.0096,5,1.8407
7,15,0.0,3,0.1655,3,0.6998
7,16,0.0,3,1.1054,5,1.9301
7,17,0.0,3,0.2565,2,0.6194
7,18,0.0,3,0.7432,3,1.2419
7,19,0.0,3,1.2527,5,2.1604
7,20,0.0,3,0.5298,3,1.1181
7,21,0.0,3,0.9205,5,1.8074
7,22,0.0,3,-0.0464,2,0.3095
7,23,0.0,3,1.0111,4,1.6767
7,24,0.0,3,1.4354,4,1.9183
7,25,0.0,3,0.8311,5,1.5852
42,1,0.0,3,-0.1612,5,1.1313
42,2,0.0,3,0.48,5,1.6187
42,3,0.0,3,0.6164,4,1.5284
42,4,0.0,3,0.0071,3,0.7345
42,5,0.0,3,0.4846,4,1.2415
42,6,0.0,3,0.2951,4,1.2375
42,7,0.0,3,0.9364,4,1.8248
42,8,0.0,3,0.2283,2,0.5665
42,9,0.0,3,0.725,4,1.4838
42,10,0.0,3,-0.0887,2,0.2975
42,11,0.0,3,0.4456,5,1.4015
42,12,0.0,3,0.6123,4,1.5134
42,13,0.0,3,0.3064,4,1.3603
42,14,0.0,3,0.0251,4,1.0892
42,15,0.0,3,1.3622,5,2.0458
42,16,0.0,3,0.745,3,1.0613
42,17,0.0,3,0.5188,2,0.8113
42,18,0.0,3,0.1625,3,0.978
42,19,0.0,3,1.4895,4,1.8352
42,20,0.0,3,0.638,2,0.5226
42,21,0.0,3,0.8302,4,1.4832
42,22,0.0,3,1.4184,5,2.2925
42,23,0.0,3,0.7436,3,1.2419
42,24,0.0,3,0.3416,5,1.3372
42,25,0.0,3,0.9115,4,1.6895
55,1,0.0,3,-0.2351,5,1.0574
55,2,0.0,0,-0.5,1,-0.0
55,3,0.0,3,-0.1598,3,0.6784
55,4,0.0,3,1.0771,4,1.8078
55,5,0.0,3,0.3568,3,0.8031
55,6,0.0,3,1.3168,5,2.1219
55,7,0.0,3,0.3646,2,0.65
55,8,0.0,3,0.0874,3,0.6998
55,9,0.0,3,0.0129,4,0.8795
55,10,0.0,3,1.3516,4,1.9591
55,11,0.0,3,1.5052,4,1.9219
55,12,0.0,3,1.2477,4,1.7652
55,13,0.0,3,0.8991,5,1.8811
55,14,0.0,3,0.1613,2,0.5226
55,15,0.0,3,1.249,4,1.8464
55,16,0.0,3,1.242,4,1.8774
55,17,0.0,3,0.8338,5,1.9183
55,18,0.0,3,0.7266,4,1.4942
55,19,0.0,3,0.6548,4,1.523
55,20,0.0,3,0.7366,5,1.7843
55,21,0.0,3,0.0015,1,-0.0
55,22,0.0,3,1.1616,5,1.8962
55,23,0.0,3,0.1514,3,0.6998
55,24,0.0,3,0.8883,5,1.8074
55,25,0.0,3,0.9157,5,2.0606
123,1,0.0,3,-0.246,5,1.0465
123,2,0.0,3,0.1629,5,1.3114
123,3,0.0,3,-0.0034,4,0.9414
123,4,0.0,3,0.7778,4,1.685
123,5,0.0,3,-0.0657,3,0.549
123,6,0.0,3,1.3474,4,1.9501
123,7,0.0,3,1.1882,3,1.4949
123,8,0.0,3,1.3461,5,2.1887
123,9,0.0,3,0.5788,2,0.5665
123,10,0.0,3,0.7326,5,1.6137
123,11,0.0,3,0.4109,5,1.6267
123,12,0.0,3,0.4112,5,1.6166
123,13,0.0,3,0.107,3,0.8167
123,14,0.0,3,1.5519,5,2.1493
123,15,0.0,3,0.5224,3,0.9056
123,16,0.0,3,0.3285,2,0.684
123,17,0.0,3,0.4157,5,1.4082
123,18,0.0,3,-0.1654,3,0.4972
123,19,0.0,3,1.5687,5,2.2569
123,20,0.0,3,0.3297,2,0.5033
123,21,0.0,3,0.6019,3,1.1488
123,22,0.0,2,0.007,3,0.9219
123,23,0.0,3,0.3422,4,1.1451
123,24,0.0,3,0.5774,4,1.5546
123,25,0.0,3,0.1047,3,0.6402
314,1,0.0,3,-0.2196,5,1.0729
314,2,0.0,3,-0.1026,4,0.8892
314,3,0.0,3,-0.1957,3,0.549
314,4,0.0,3,1.1228,5,1.961
314,5,0.0,3,0.8214,4,1.75
314,6,0.0,3,0.8148,2,0.9457
314,7,0.0,3,-0.0404,1,-0.0
314,8,0.0,0,-0.5,1,-0.0
314,9,0.0,0,-0.5,1,-0.0
314,10,0.0,0,-0.5,1,-0.0
314,11,0.0,3,0.0388,2,0.5665
314,12,0.0,3,0.2786,2,0.8905
314,13,0.0,3,0.2374,2,0.9612
314,14,0.0,3,0.8806,5,1.6738
314,15,0.0,3,0.3853,3,1.0409
314,16,0.0,3,0.4817,3,0.9913
314,17,0.0,3,-0.1447,1,-0.0
314,18,0.0,3,-0.0957,2,0.469
314,19,0.0,3,1.6511,5,2.2464
314,20,0.0,3,1.0624,3,1.5466
314,21,0.0,3,0.7971,5,1.6267
314,22,0.0,3,0.1493,3,0.8031
314,23,0.0,3,1.1623,4,1.9
314,24,0.0,3,0.5689,2,0.8631
314,25,0.0,3,1.1376,3,1.5
456,1,0.0,3,-0.1289,5,1.1636
456,2,0.0,3,0.1124,4,1.1511
456,3,0.0,3,-0.0933,3,0.7345
456,4,0.0,3,0.751,4,1.614
456,5,0.0,3,0.0399,2,0.3912
456,6,0.0,3,-0.3011,1,-0.0
456,7,0.0,3,-0.2963,2,0.3228
456,8,0.0,3,1.8499,5,2.1714
456,9,0.0,3,0.9421,3,1.1488
456,10,0.0,3,0.8339,4,1.5488
456,11,0.0,3,-0.0007,3,0.6998
456,12,0.0,3,0.1907,3,0.8031
456,13,0.0,3,0.5743,4,1.4108
456,14,0.0,3,-0.0218,1,-0.0
456,15,0.0,3,-0.0755,3,0.6686
456,16,0.0,3,0.8677,5,1.7804
456,17,0.0,3,0.3407,4,1.2366
456,18,0.0,2,0.1811,3,0.9056
456,19,0.0,3,-0.0023,4,0.806
456,20,0.0,3,1.1288,4,1.7842
456,21,0.0,3,0.9103,4,1.8366
456,22,0.0,3,0.0974,1,-0.0
456,23,0.0,0,-0.5,1,-0.0
456,24,0.0,2,0.7668,3,1.2988
456,25,0.0,3,0.7223,4,1.6729
789,1,0.0,3,-0.0118,4,1.1492
789,2,0.0,3,0.0648,5,1.1826
789,3,0.0,3,-0.1866,2,0.3298
789,4,0.0,3,0.0962,4,1.0239
789,5,0.0,3,0.8912,5,1.8776
789,6,0.0,3,1.139,4,1.8911
789,7,0.0,2,0.4717,2,0.7219
789,8,0.0,1,-0.1713,1,-0.0
789,9,0.0,3,1.2561,5,1.9698
789,10,0.0,3,0.5913,4,1.4466
789,11,0.0,3,0.6737,4,1.4961
789,12,0.0,3,0.2993,3,1.0409
789,13,0.0,3,0.7157,4,1.4183
789,14,0.0,3,1.3673,5,2.2464
789,15,0.0,3,0.2832,5,1.1387
789,16,0.0,3,0.1642,4,1.1542
789,17,0.0,3,0.4197,4,1.2116
789,18,0.0,3,-0.0412,3,0.6686
789,19,0.0,3,1.6269,5,2.2855
789,20,0.0,3,0.9371,5,1.8289
789,21,0.0,3,0.2951,4,1.1401
789,22,0.0,3,0.6027,5,1.6235
789,23,0.0,3,0.5366,5,1.6738
789,24,0.0,3,1.0236,4,1.7882
789,25,0.0,2,0.0068,3,0.5132
999,1,0.0,3,-0.1841,5,1.1084
999,2,0.0,3,0.6915,5,1.7642
999,3,0.0,3,0.3394,5,1.4486
999,4,0.0,3,0.7724,5,1.8521
999,5,0.0,3,0.7991,4,1.614
999,6,0.0,3,-0.0638,3,0.569
999,7,0.0,3,0.949,4,1.6172
999,8,0.0,3,1.0149,4,1.7925
999,9,0.0,3,0.9774,5,1.9751
999,10,0.0,3,1.1329,4,1.871
999,11,0.0,3,0.8983,5,1.6714
999,12,0.0,3,0.303,3,1.0141
999,13,0.0,3,0.9396,4,1.574
999,14,0.0,3,0.0064,4,0.7654
999,15,0.0,3,-0.0882,3,0.6402
999,16,0.0,3,0.2838,3,0.9445
999,17,0.0,3,0.2684,5,1.2495
