N,plb,rate,n_seeds,policy,dominant_k,agree_pct,med_sw_100,med_dom_frac,time_stable_count,mean_margin,mean_islands_strong,mean_islands_mid,mean_none_ratio,mean_n_C
200,0.007,0.0005,10,hyst_0.01,4,80.0,2.5,0.86,8,0.0233,0.64,1.36,0.8804,20.5
200,0.007,0.001,10,hyst_0.01,4,100.0,2.5,0.84,8,0.0458,0.78,1.57,0.8721,20.8
200,0.007,0.002,10,hyst_0.01,4,100.0,3.0,0.9,10,0.1069,0.77,1.54,0.8773,20.5
200,0.007,0.005,10,hyst_0.01,4,100.0,2.0,0.92,10,0.238,0.71,1.47,0.877,20.0
200,0.008,0.0005,10,hyst_0.01,4,70.0,4.0,0.66,5,0.0241,1.1,2.26,0.8317,21.6
200,0.008,0.001,10,hyst_0.01,4,100.0,2.5,0.78,7,0.0699,1.19,2.32,0.8367,21.1
200,0.008,0.002,10,hyst_0.01,4,100.0,3.5,0.88,10,0.1355,1.1,2.22,0.8373,21.4
200,0.008,0.005,10,hyst_0.01,4,100.0,2.0,0.92,10,0.2734,1.09,1.96,0.845,21.1
200,0.01,0.0005,10,hyst_0.01,4,100.0,2.0,0.86,9,0.0454,1.83,3.73,0.7814,21.4
200,0.01,0.001,10,hyst_0.01,4,90.0,2.0,0.92,9,0.0817,1.81,3.64,0.79,21.2
200,0.01,0.002,10,hyst_0.01,4,100.0,1.5,0.94,10,0.1651,2.06,3.97,0.786,22.2
200,0.01,0.005,10,hyst_0.01,4,100.0,0.0,1.0,10,0.3211,1.89,3.84,0.779,21.7
500,0.007,0.0005,10,hyst_0.01,3,70.0,4.5,0.62,5,0.0098,0.47,0.9,0.9176,37.3
500,0.007,0.001,10,hyst_0.01,4,70.0,5.0,0.7,9,0.0354,0.41,0.85,0.9187,37.0
500,0.007,0.002,10,hyst_0.01,4,100.0,5.5,0.72,7,0.067,0.43,0.93,0.9158,37.3
500,0.007,0.005,10,hyst_0.01,4,100.0,3.0,0.9,10,0.1599,0.44,0.89,0.9225,36.5
500,0.008,0.0005,10,hyst_0.01,4,60.0,8.0,0.56,5,0.0213,0.9,1.75,0.8995,43.4
500,0.008,0.001,10,hyst_0.01,4,90.0,6.5,0.62,7,0.0457,0.9,1.78,0.8948,43.6
500,0.008,0.002,10,hyst_0.01,4,100.0,7.5,0.78,9,0.0863,0.86,1.79,0.901,43.1
500,0.008,0.005,10,hyst_0.01,4,100.0,5.0,0.84,10,0.1701,0.83,1.77,0.9024,44.5
500,0.01,0.0005,10,hyst_0.01,4,90.0,7.0,0.62,8,0.0335,2.02,4.04,0.8558,51.5
500,0.01,0.001,10,hyst_0.01,4,100.0,8.0,0.7,9,0.0528,1.78,3.8,0.8601,51.8
500,0.01,0.002,10,hyst_0.01,4,100.0,6.5,0.8,10,0.1102,2.0,4.18,0.8577,52.5
500,0.01,0.005,10,hyst_0.01,4,100.0,1.5,0.92,10,0.2778,1.97,4.16,0.852,51.3
